bcEndDate,bcStartDate,caBroadcastDate,comp,exDate,faceVal,ind,isin,ndEndDate,ndStartDate,recDate,series,subject,symbol
-,-,,Mahindra & Mahindra Limited,03-Jul-2026,5,-,INE101A01026,-,-,03-Jul-2026,EQ,Dividend - Rs 33 Per Share,M&M
-,-,,Mahindra & Mahindra Limited,04-Jul-2025,5,-,INE101A01026,-,-,04-Jul-2025,EQ,Dividend - Rs 25.30 Per Share,M&M
31-Jul-2024,06-Jul-2024,,Mahindra & Mahindra Limited,05-Jul-2024,5,-,INE101A01026,-,-,-,EQ,Annual General Meeting/Dividend - Rs 21.10 Per Share,M&M
04-Aug-2023,15-Jul-2023,,Mahindra & Mahindra Limited,14-Jul-2023,5,-,INE101A01026,-,-,-,EQ,Annual General Meeting/Dividend - Rs 16.25 Per Share,M&M
05-Aug-2022,16-Jul-2022,,Mahindra & Mahindra Limited,14-Jul-2022,5,-,INE101A01026,-,-,-,EQ,Annual General Meeting/Dividend - Rs 11.55 Per Share,M&M
06-Aug-2021,17-Jul-2021,,Mahindra & Mahindra Limited,15-Jul-2021,5,-,INE101A01026,-,-,-,EQ, Annual General Meeting/Dividend - Rs 8.75 Per Share,M&M
07-Aug-2020,18-Jul-2020,,Mahindra & Mahindra Limited,16-Jul-2020,5,-,INE101A01026,-,-,-,EQ, Annual General Meeting/Dividend - Rs 2.35 Per Share,M&M
07-Aug-2019,20-Jul-2019,,Mahindra & Mahindra Limited,18-Jul-2019,5,-,INE101A01026,-,-,-,EQ, Annual General Meeting/Dividend - Rs 8.50 Per Share,M&M
07-Aug-2018,14-Jul-2018,,Mahindra & Mahindra Limited,12-Jul-2018,5,-,INE101A01026,-,-,-,EQ, Annual General Meeting/Dividend- Rs 7.50 Per Share,M&M
-,-,,Mahindra & Mahindra Limited,21-Dec-2017,5,-,INE101A01026,-,-,23-Dec-2017,EQ, Bonus 1:1,M&M
04-Aug-2017,15-Jul-2017,,Mahindra & Mahindra Limited,13-Jul-2017,5,-,INE101A01026,-,-,-,EQ, Annual General Meeting/Dividend - Rs 13/- Per Share,M&M
10-Aug-2016,23-Jul-2016,,Mahindra & Mahindra Limited,21-Jul-2016,5,-,INE101A01026,-,-,-,EQ, Annual General Meeting/ Dividend - Rs 12/- Per Share,M&M
07-Aug-2015,18-Jul-2015,,Mahindra & Mahindra Limited,16-Jul-2015,5,-,INE101A01026,-,-,-,EQ,Annual General Meeting/Dividend - Rs 12/- Per Share,M&M
08-Aug-2014,19-Jul-2014,,Mahindra & Mahindra Limited,17-Jul-2014,5,-,INE101A01026,-,-,-,EQ,Annual General Meeting / Dividend - Rs 13.50/- Per Share + Special Dividend - Re 0.50/- Per Share,M&M
13-Aug-2013,20-Jul-2013,,Mahindra & Mahindra Limited,18-Jul-2013,5,-,INE101A01026,-,-,-,EQ,Annual General Meeting/Dividend 12.50/-+Special Dividend 0.50/- Per Share,M&M
08-Aug-2012,14-Jul-2012,,Mahindra & Mahindra Limited,12-Jul-2012,5,-,INE101A01026,-,-,-,EQ,Annual General Meeting And Dividend - Rs.12.50 Per Share,M&M
08-Aug-2011,16-Jul-2011,,Mahindra & Mahindra Limited,14-Jul-2011,5,-,INE101A01026,-,-,-,EQ,Annual General Meeting/Final Dividend Rs.10.50 Per Share And Special Dividend Re.1/- Per Share,M&M
28-Jul-2010,10-Jul-2010,,Mahindra & Mahindra Limited,08-Jul-2010,5,-,INE101A01026,-,-,-,EQ,Annual General Meeting/Final Dividend Rs.8.75 Per Share And Special Dividend Re.0.75 Per Share (Purpose Revised),M&M
-,-,,Mahindra & Mahindra Limited,29-Mar-2010,5,-,INE101A01026,-,-,30-Mar-2010,EQ,Fv Split Rs.10 To Rs.5,M&M
30-Jul-2009,11-Jul-2009,,Mahindra & Mahindra Limited,09-Jul-2009,5,-,INE101A01026,-,-,-,EQ,Agm/Div-Rs.10/- Per Sharepurpose Revised,M&M
