broadCastDate,symbol,companyName,isin,consolidated,period,resultDescription,fr_source
20-Jan-2025,ETERNAL,ETERNAL LIMITED,INE758T01015,,Quarterly,Financial Result Updates,announcements
22-Oct-2024,ETERNAL,ETERNAL LIMITED,INE758T01015,,Quarterly,Financial Result Updates,announcements
01-Aug-2024,ETERNAL,ETERNAL LIMITED,INE758T01015,,Quarterly,Financial Result Updates,announcements
13-May-2024,ETERNAL,ETERNAL LIMITED,INE758T01015,,Quarterly,Financial Result Updates,announcements
08-Feb-2024,ETERNAL,ETERNAL LIMITED,INE758T01015,,Quarterly,Financial Result Updates,announcements
03-Nov-2023,ETERNAL,ETERNAL LIMITED,INE758T01015,,Quarterly,Financial Result Updates,announcements
03-Aug-2023,ETERNAL,ETERNAL LIMITED,INE758T01015,,Quarterly,Financial Result Updates,announcements
19-May-2023,ETERNAL,ETERNAL LIMITED,INE758T01015,,Quarterly,Financial Result Updates,announcements
09-Feb-2023,ETERNAL,ETERNAL LIMITED,INE758T01015,,Quarterly,Financial Result Updates,announcements
23-May-2022,ETERNAL,ETERNAL LIMITED,INE758T01015,,Quarterly,Financial Result Updates,announcements
10-Feb-2022,ETERNAL,ETERNAL LIMITED,INE758T01015,,Quarterly,Financial Result Updates,announcements
10-Nov-2021,ETERNAL,ETERNAL LIMITED,INE758T01015,,Quarterly,Financial Result Updates,announcements
10-Aug-2021,ETERNAL,ETERNAL LIMITED,INE758T01015,,Quarterly,Financial Result Updates,announcements
