broadCastDate,symbol,companyName,isin,consolidated,period,resultDescription,fr_source
24-Jan-2025,INDIGO,InterGlobe Aviation Limited,INE646L01027,,Quarterly,Financial Result Updates,announcements
25-Oct-2024,INDIGO,InterGlobe Aviation Limited,INE646L01027,,Quarterly,Financial Result Updates,announcements
26-Jul-2024,INDIGO,InterGlobe Aviation Limited,INE646L01027,,Quarterly,Financial Result Updates,announcements
23-May-2024,INDIGO,InterGlobe Aviation Limited,INE646L01027,,Quarterly,Financial Result Updates,announcements
02-Feb-2024,INDIGO,InterGlobe Aviation Limited,INE646L01027,,Quarterly,Financial Result Updates,announcements
03-Nov-2023,INDIGO,InterGlobe Aviation Limited,INE646L01027,,Quarterly,Financial Result Updates,announcements
02-Aug-2023,INDIGO,InterGlobe Aviation Limited,INE646L01027,,Quarterly,Financial Result Updates,announcements
18-May-2023,INDIGO,InterGlobe Aviation Limited,INE646L01027,,Quarterly,Financial Result Updates,announcements
03-Feb-2023,INDIGO,InterGlobe Aviation Limited,INE646L01027,,Quarterly,Financial Result Updates,announcements
25-May-2022,INDIGO,InterGlobe Aviation Limited,INE646L01027,,Quarterly,Financial Result Updates,announcements
04-Feb-2022,INDIGO,InterGlobe Aviation Limited,INE646L01027,,Quarterly,Financial Result Updates,announcements
28-Oct-2021,INDIGO,InterGlobe Aviation Limited,INE646L01027,,Quarterly,Financial Result Updates,announcements
27-Jul-2021,INDIGO,InterGlobe Aviation Limited,INE646L01027,,Quarterly,Financial Result Updates,announcements
07-Jun-2021,INDIGO,InterGlobe Aviation Limited,INE646L01027,,Quarterly,Financial Result Updates,announcements
28-Jan-2021,INDIGO,InterGlobe Aviation Limited,INE646L01027,,Quarterly,Financial Result Updates,announcements
29-Oct-2020,INDIGO,InterGlobe Aviation Limited,INE646L01027,,Quarterly,Financial Result Updates,announcements
29-Jul-2020,INDIGO,InterGlobe Aviation Limited,INE646L01027,,Quarterly,Financial Result Updates,announcements
02-Jun-2020,INDIGO,InterGlobe Aviation Limited,INE646L01027,,Quarterly,Financial Result Updates,announcements
27-Jan-2020,INDIGO,InterGlobe Aviation Limited,INE646L01027,,Quarterly,Financial Result Updates,announcements
24-Oct-2019,INDIGO,InterGlobe Aviation Limited,INE646L01027,,Quarterly,Financial Result Updates,announcements
19-Jul-2019,INDIGO,InterGlobe Aviation Limited,INE646L01027,,Quarterly,Financial Result Updates,announcements
27-May-2019,INDIGO,InterGlobe Aviation Limited,INE646L01027,,Quarterly,Financial Result Updates,announcements
23-Jan-2019,INDIGO,InterGlobe Aviation Limited,INE646L01027,,Quarterly,Financial Result Updates,announcements
24-Oct-2018,INDIGO,InterGlobe Aviation Limited,INE646L01027,,Quarterly,Financial Result Updates,announcements
30-Jul-2018,INDIGO,InterGlobe Aviation Limited,INE646L01027,,Quarterly,Financial Result Updates,announcements
02-May-2018,INDIGO,InterGlobe Aviation Limited,INE646L01027,,Quarterly,Financial Result Updates,announcements
24-Jan-2018,INDIGO,InterGlobe Aviation Limited,INE646L01027,,Quarterly,Financial Result Updates,announcements
31-Oct-2017,INDIGO,InterGlobe Aviation Limited,INE646L01027,,Quarterly,Financial Result Updates,announcements
31-Jul-2017,INDIGO,InterGlobe Aviation Limited,INE646L01027,,Quarterly,Financial Result Updates,announcements
09-May-2017,INDIGO,InterGlobe Aviation Limited,INE646L01027,,Quarterly,Financial Result Updates,announcements
31-Jan-2017,INDIGO,InterGlobe Aviation Limited,INE646L01027,,Quarterly,Financial Result Updates,announcements
08-Nov-2016,INDIGO,InterGlobe Aviation Limited,INE646L01027,,Quarterly,Financial Result Updates,announcements
01-Aug-2016,INDIGO,InterGlobe Aviation Limited,INE646L01027,,Quarterly,Financial Result Updates,announcements
29-Apr-2016,INDIGO,InterGlobe Aviation Limited,INE646L01027,,Quarterly,Financial Result Updates,announcements
21-Jan-2016,INDIGO,InterGlobe Aviation Limited,INE646L01027,,Quarterly,Financial Result Updates,announcements
