bm_symbol,bm_date,bm_purpose,bm_desc,sm_indusrty,bm_timestamp,sm_name,sm_isin,diff,sysTime,attFileSize,attachment,ixbrl,ixbrlFileSize,symbol,company_name,bm_source
INDIGO,23-Jul-2026,Board Meeting Intimation,INTERGLOBE AVIATION LIMITED has informed the Exchange about Board Meeting to be held on 23-Jul-2026 to inter-alia consider and approve the Unaudited Financial results of the Company for the Quarterly ended June 2026 .,-,16-Jul-2026 20:14:15,InterGlobe Aviation Limited,INE646L01027,00:00:04,16-Jul-2026 20:14:19,14.50 KB,https://nsearchives.nseindia.com/corporate/xbrl/539448_16072026_PRIOR_INTIMATION_WebXMLFile_20260716_201413404.xml,https://nsearchives.nseindia.com/corporate/ixbrl/PRIOR_INTIMATION_13226_20260716_201413424_WEB.html,3.24 KB,INDIGO,InterGlobe Aviation Ltd.,
INDIGO,29-May-2026,Board Meeting Intimation,INTERGLOBE AVIATION LIMITED has informed the Exchange about Board Meeting to be held on 29-May-2026 to inter-alia consider and approve the Audited Financial results of the Company for the Yearly ended March 2026 .,-,22-May-2026 23:55:24,InterGlobe Aviation Limited,INE646L01027,00:00:03,22-May-2026 23:55:27,14.49 KB,https://nsearchives.nseindia.com/corporate/xbrl/PIBM_539448_2252026235519_PRIOR_INTIMATION_WebXMLFile_20260522_235522430.xml,https://nsearchives.nseindia.com/corporate/ixbrl/PRIOR_INTIMATION_20260522_235522_WEB.html,3.23 KB,INDIGO,InterGlobe Aviation Ltd.,
INDIGO,22-Jan-2026,Board Meeting Intimation,INTERGLOBE AVIATION LIMITED has informed the Exchange about Board Meeting to be held on 22-Jan-2026 to inter-alia consider and approve the Unaudited Financial results of the Company for the Quarterly ended December 2025 .,-,15-Jan-2026 19:34:26,InterGlobe Aviation Limited,INE646L01027,00:00:03,15-Jan-2026 19:34:29,6.52 KB,https://nsearchives.nseindia.com/corporate/xbrl/PRIOR_INTIMATION_75567_1601809_15012026073424_WEB.xml,https://nsearchives.nseindia.com/corporate/ixbrl/PRIOR_INTIMATION_75567_15012026193424_iXBRL_WEB.html,2.93 KB,INDIGO,InterGlobe Aviation Ltd.,
INDIGO,04-Nov-2025,Board Meeting Intimation,INTERGLOBE AVIATION LIMITED has informed the Exchange about Board Meeting to be held on 04-Nov-2025 to inter-alia consider and approve the Unaudited Financial results of the Company for the Half Yearly ended September 2025 .,-,28-Oct-2025 20:58:29,InterGlobe Aviation Limited,INE646L01027,00:00:02,28-Oct-2025 20:58:31,6.52 KB,https://nsearchives.nseindia.com/corporate/xbrl/PRIOR_INTIMATION_69482_1559258_28102025085826_WEB.xml,https://nsearchives.nseindia.com/corporate/ixbrl/PRIOR_INTIMATION_69482_28102025205826_iXBRL_WEB.html,2.94 KB,INDIGO,InterGlobe Aviation Ltd.,
INDIGO,30-Jul-2025,Board Meeting Intimation,INTERGLOBE AVIATION LIMITED has informed the Exchange about Board Meeting to be held on 30-Jul-2025 to inter-alia consider and approve the Unaudited Financial results of the Company for the Quarterly ended June 2025 .,-,24-Jul-2025 14:21:10,InterGlobe Aviation Limited,INE646L01027,00:00:04,24-Jul-2025 14:21:14,,https://nsearchives.nseindia.com/corporate/xbrl/PRIOR_INTIMATION_60702_1492118_24072025022109_WEB.xml,https://nsearchives.nseindia.com/corporate/ixbrl/PRIOR_INTIMATION_60702_24072025142109_iXBRL_WEB.html,,INDIGO,InterGlobe Aviation Ltd.,
INDIGO,21-May-2025,Board Meeting Intimation,INTERGLOBE AVIATION LIMITED has informed the Exchange about Board Meeting to be held on 21-May-2025 to inter-alia consider and approve the Audited Financial results of the Company for the Yearly ended March 2025 .,-,16-May-2025 20:25:00,InterGlobe Aviation Limited,INE646L01027,00:00:03,16-May-2025 20:25:03,,https://nsearchives.nseindia.com/corporate/xbrl/PRIOR_INTIMATION_54357_1441672_16052025082456_WEB.xml,https://nsearchives.nseindia.com/corporate/ixbrl/PRIOR_INTIMATION_54357_16052025202455_iXBRL_WEB.html,,INDIGO,InterGlobe Aviation Ltd.,
INDIGO,24-Jan-2025,Board Meeting Intimation,INTERGLOBE AVIATION LIMITED has informed the Exchange about Board Meeting to be held on 24-Jan-2025 to inter-alia consider and approve the Unaudited Financial results of the Company for the Quarterly ended December 2024 .,-,16-Jan-2025 21:35:19,InterGlobe Aviation Limited,INE646L01027,00:00:04,16-Jan-2025 21:35:23,,https://nsearchives.nseindia.com/corporate/xbrl/PRIOR_INTIMATION_43950_1348290_16012025093510_WEB.xml,https://nsearchives.nseindia.com/corporate/ixbrl/PRIOR_INTIMATION_43950_16012025213506_iXBRL_WEB.html,,INDIGO,InterGlobe Aviation Ltd.,
INDIGO,25-Oct-2024,INTERGLOBE AVIATION LIMITED has informed the Exchange about Board Meeting to be held on 25-Oct-2024 to inter-alia consider and approve the Unaudited Financial results of the Company for the Half Yearly ended September 2024 .,Board Meeting Intimation,-,16-Oct-2024 18:32:36,InterGlobe Aviation Limited,INE646L01027,00:00:03,16-Oct-2024 18:32:39,,https://nsearchives.nseindia.com/corporate/xbrl/PRIOR_INTIMATION_37633_1273176_16102024063233_WEB.xml,,,INDIGO,InterGlobe Aviation Ltd.,
INDIGO,26-Jul-2024,INTERGLOBE AVIATION LIMITED has informed the Exchange about Board Meeting to be held on 26-Jul-2024 to inter-alia consider and approve the Unaudited Financial results of the Company for the Quarterly ended June 2024 .,Board Meeting Intimation,-,19-Jul-2024 11:44:56,InterGlobe Aviation Limited,INE646L01027,00:00:03,19-Jul-2024 11:44:59,,https://nsearchives.nseindia.com/corporate/xbrl/PRIOR_INTIMATION_30000_1193470_19072024114453_WEB.xml,,,INDIGO,InterGlobe Aviation Ltd.,
INDIGO,25-May-2022,Outcome of Board Meeting,InterGlobe Aviation Limited  has informed the Exchange about Board Meeting held on 25-May-2022 to consider financial statements for the period ended March 2022,,,InterGlobe Aviation Limited,INE646L01027,,,,,,,INDIGO,InterGlobe Aviation Ltd.,announcements
INDIGO,10-May-2021,Outcome of Board Meeting,"InterGlobe Aviation Limited has informed the Exchange regarding  Board meeting held on May 10, 2021.",,,InterGlobe Aviation Limited,INE646L01027,,,,,,,INDIGO,InterGlobe Aviation Ltd.,announcements
INDIGO,07-May-2021,Outcome of Board Meeting,"InterGlobe Aviation Limited has informed the Exchange regarding  Board meeting held on May 07, 2021.",,,InterGlobe Aviation Limited,INE646L01027,,,,,,,INDIGO,InterGlobe Aviation Ltd.,announcements
INDIGO,02-May-2018,Outcome of Board Meeting,"InterGlobe Aviation Limited has informed the Exchange regarding Outcome of Board Meeting held on May 02, 2018.",,,InterGlobe Aviation Limited,INE646L01027,,,,,,,INDIGO,InterGlobe Aviation Ltd.,announcements
