an_dt,attFileSize,attchmntFile,attchmntText,bflag,csvName,desc,difference,dt,exchdisstime,fileSize,hasXbrl,old_new,orgid,seq_id,smIndustry,sm_isin,sm_name,sort_date,symbol
22-Aug-2026 19:03:33,651.94 KB,https://nsearchives.nseindia.com/corporate/KAYNESTECH_22082026190258_SEIntimationPRBOSGAME.pdf,"Kaynes Technology India Limited has informed the Exchange regarding a press release dated August 22, 2026, titled ""BOSGAME enters India with Kaynes Technology; companies sign strategic MoU to build a strong computing presence in India"".",,,Press Release,00:00:01,22082026190333,22-Aug-2026 19:03:34,651.94 KB,True,,,106753580,,INE918Z01012,Kaynes Technology India Limited,2026-08-22 19:03:33,KAYNES
21-Aug-2026 18:46:55,1019.45 KB,https://nsearchives.nseindia.com/corporate/KAYNESTECH_21082026184616_NewspaperpublicationSigned.pdf,Kaynes Technology India Limited has informed the Exchange about Copy of Newspaper Publication,,,Copy of Newspaper Publication,00:00:01,21082026184655,21-Aug-2026 18:46:56,1019.45 KB,True,,,106752859,,INE918Z01012,Kaynes Technology India Limited,2026-08-21 18:46:55,KAYNES
20-Aug-2026 18:06:30,14.68 MB,https://nsearchives.nseindia.com/corporate/KAYNESTECH_20082026180508_NoticeIntimation202526.pdf,"Kaynes Technology India Limited has informed the Exchange regarding Notice of Annual General Meeting to be held on September 17, 2026",,,Shareholders meeting,00:00:01,20082026180630,20-Aug-2026 18:06:31,14.68 MB,True,,,106751291,,INE918Z01012,Kaynes Technology India Limited,2026-08-20 18:06:30,KAYNES
12-Aug-2026 17:34:37,1.48 MB,https://nsearchives.nseindia.com/corporate/KAYNESTECH_12082026173401_MonitoringAgencyReportQ1FY27.pdf,Monitoring Agency Report for the Quarter ended June FY 27,,,Monitoring Agency Report,00:00:01,12082026173437,12-Aug-2026 17:34:38,1.48 MB,True,,,106739476,,INE918Z01012,Kaynes Technology India Limited,2026-08-12 17:34:37,KAYNES
12-Aug-2026 16:49:59,627.92 KB,https://nsearchives.nseindia.com/corporate/KAYNESTECH_12082026164943_TranscriptoftheEarningAnnouncement.pdf,Kaynes Technology India Limited has informed the Exchange about Transcript,,,Analysts/Institutional Investor Meet/Con. Call Updates,00:00:02,12082026164959,12-Aug-2026 16:50:01,627.92 KB,True,,,106739252,,INE918Z01012,Kaynes Technology India Limited,2026-08-12 16:49:59,KAYNES
08-Aug-2026 17:31:19,283.06 KB,https://nsearchives.nseindia.com/corporate/KAYNESTECH_08082026171656_EarningsCallrecordingsigned.pdf,Kaynes Technology India Limited has informed the Exchange about Link of Recording,,,Analysts/Institutional Investor Meet/Con. Call Updates,00:00:01,08082026173119,08-Aug-2026 17:31:20,283.06 KB,True,,,106733355,,INE918Z01012,Kaynes Technology India Limited,2026-08-08 17:31:19,KAYNES
08-Aug-2026 11:33:42,6.13 MB,https://nsearchives.nseindia.com/corporate/KAYNESTECH_08082026113309_Intimationofpublication.pdf,Kaynes Technology India Limited has informed the Exchange about Copy of Newspaper Publication,,,Copy of Newspaper Publication,00:00:01,08082026113342,08-Aug-2026 11:33:43,6.13 MB,True,,,106732856,,INE918Z01012,Kaynes Technology India Limited,2026-08-08 11:33:42,KAYNES
07-Aug-2026 20:58:07,364.78 KB,https://nsearchives.nseindia.com/corporate/KAYNESTECH_07082026205737_Intimationreclassification_Signed.pdf,"Kaynes Technology India Limited has informed the Exchange regarding 'Corrigendum to the consolidated financial results for the year ended 31, March 2026'.",,,Updates,00:00:01,07082026205807,07-Aug-2026 20:58:08,364.78 KB,True,,,106732432,,INE918Z01012,Kaynes Technology India Limited,2026-08-07 20:58:07,KAYNES
07-Aug-2026 20:52:23,3.81 MB,https://nsearchives.nseindia.com/corporate/KAYNESTECH_07082026205202_IntimationEarningsPresentation.pdf,Kaynes Technology India Limited has informed the Exchange about Investor Presentation,,,Investor Presentation,00:00:01,07082026205223,07-Aug-2026 20:52:24,3.81 MB,True,,,106732428,,INE918Z01012,Kaynes Technology India Limited,2026-08-07 20:52:23,KAYNES
07-Aug-2026 20:33:00,1.48 MB,https://nsearchives.nseindia.com/corporate/KAYNESTECH_07082026203215_StatementofDeviationQ1signed.pdf,Kaynes Technology India Limited has informed the Exchange about statement of deviation(s) or variation(s) under Reg. 32,,,Statement of deviation(s) or variation(s) under Reg. 32,00:00:01,07082026203300,07-Aug-2026 20:33:01,1.48 MB,True,,,106732403,,INE918Z01012,Kaynes Technology India Limited,2026-08-07 20:33:00,KAYNES
