exDate,recDate,subject,faceVal
11-May-2011 10:08:00,11-May-2011 10:08:00,Outcome of Board Meeting,1
28-Feb-2011 09:11:00,28-Feb-2011 09:11:00,Dividend,1
28-Feb-2011 08:50:00,28-Feb-2011 08:50:00,Press Release,1
23-Feb-2011 09:51:00,23-Feb-2011 09:51:00,Record Date,1
26-Oct-2010 15:12:00,26-Oct-2010 15:12:00,Interim Dividend,1
22-Oct-2010 14:41:00,22-Oct-2010 14:41:00,Record Date,1
07-May-2010 17:39:00,07-May-2010 17:39:00,Outcome of Board Meeting,1
29-Mar-2010 17:25:00,29-Mar-2010 17:25:00,Interim Dividend/Record Date,1
31-Oct-2009 17:22:00,31-Oct-2009 17:22:00,Interim Dividend/Record Date,1
11-May-2009 09:21:00,11-May-2009 09:21:00,Interim Dividend,1
30-Mar-2009 09:12:00,30-Mar-2009 09:12:00,Interim Dividend,1
25-Mar-2009 15:33:00,25-Mar-2009 15:33:00,Date of Payment of Dividend,1
17-Mar-2009 17:46:00,17-Mar-2009 17:46:00,Record Date,1
23-Oct-2008 20:03:00,23-Oct-2008 20:03:00,Interim Dividend,1
17-Oct-2008 16:21:00,17-Oct-2008 16:21:00,Record date/ others,1
08-Jul-2008 15:30:00,08-Jul-2008 15:30:00,Payment of Dividend,1
05-Jun-2008 11:30:00,05-Jun-2008 11:30:00,AGM/Book Closure,1
28-Apr-2008 18:40:00,28-Apr-2008 18:40:00,Press Release,1
11-Mar-2008 13:44:00,11-Mar-2008 13:44:00,Interim Dividend,1
07-Mar-2008 12:35:00,07-Mar-2008 12:35:00,Payment of Dividend,1
06-Mar-2008 18:37:00,06-Mar-2008 18:37:00,Record Date,1
06-Jul-2007 09:41:00,06-Jul-2007 09:41:00,Date of Payment of Dividend,1
08-May-2007 17:45:00,08-May-2007 17:45:00,AGM/Book Closure,1
25-Apr-2007 15:23:00,25-Apr-2007 15:23:00,Final Dividend,1
15-Mar-2007 18:37:00,15-Mar-2007 18:37:00,Interim Dividend,1
08-Mar-2007 19:36:00,08-Mar-2007 19:36:00,Payment of Dividend,1
11-Jul-2006 00:00:00,11-Jul-2006 00:00:00,Payment of Dividend,1
12-Jun-2006 00:00:00,12-Jun-2006 00:00:00,Change in Book Closure,1
05-Jun-2006 00:00:00,05-Jun-2006 00:00:00,AGM/Book Closure,1
22-May-2006 00:00:00,22-May-2006 00:00:00,Dividend/Others,1
14-Jul-2005 00:00:00,14-Jul-2005 00:00:00,Payment of Dividend,1
16-Jun-2005 00:00:00,16-Jun-2005 00:00:00,AGM/Book Closure,1
24-May-2005 00:00:00,24-May-2005 00:00:00,Dividend,1
