broadCastDate,relatingTo,consolidated,audited,fromDate,toDate,xbrl
06-Aug-2026 17:24:57,Quarterly Financial Results,Audited,Audited,06-Aug-2026 17:24:57,06-Aug-2026 17:24:57,
21-May-2026 17:25:26,Quarterly Financial Results,Audited,Audited,21-May-2026 17:25:26,21-May-2026 17:25:26,
05-Feb-2026 16:05:18,Quarterly Financial Results,Audited,Audited,05-Feb-2026 16:05:18,05-Feb-2026 16:05:18,
06-Nov-2025 17:13:22,Quarterly Financial Results,Audited,Audited,06-Nov-2025 17:13:22,06-Nov-2025 17:13:22,
07-Aug-2025 17:12:14,Quarterly Financial Results,Audited,Audited,07-Aug-2025 17:12:14,07-Aug-2025 17:12:14,
11-Jul-2025 20:17:30,Quarterly Financial Results,Audited,Audited,11-Jul-2025 20:17:30,11-Jul-2025 20:17:30,
27-May-2025 18:16:46,Quarterly Financial Results,Audited,Audited,27-May-2025 18:16:46,27-May-2025 18:16:46,
07-Feb-2025 17:05:11,Quarterly Financial Results,Audited,Audited,07-Feb-2025 17:05:11,07-Feb-2025 17:05:11,
13-Jan-2025 22:38:55,Quarterly Financial Results,Audited,Audited,13-Jan-2025 22:38:55,13-Jan-2025 22:38:55,
08-Nov-2024 15:42:32,Quarterly Financial Results,Audited,Audited,08-Nov-2024 15:42:32,08-Nov-2024 15:42:32,
08-Aug-2024 18:26:52,Quarterly Financial Results,Audited,Audited,08-Aug-2024 18:26:52,08-Aug-2024 18:26:52,
08-Aug-2024 18:15:25,Quarterly Financial Results,Audited,Audited,08-Aug-2024 18:15:25,08-Aug-2024 18:15:25,
27-May-2024 19:01:41,Quarterly Financial Results,Audited,Audited,27-May-2024 19:01:41,27-May-2024 19:01:41,
25-Apr-2024 16:56:53,Quarterly Financial Results,Audited,Audited,25-Apr-2024 16:56:53,25-Apr-2024 16:56:53,
08-Feb-2024 17:57:23,Quarterly Financial Results,Audited,Audited,08-Feb-2024 17:57:23,08-Feb-2024 17:57:23,
08-Jan-2024 17:40:37,Quarterly Financial Results,Audited,Audited,08-Jan-2024 17:40:37,08-Jan-2024 17:40:37,
11-Dec-2023 12:44:51,Quarterly Financial Results,Audited,Audited,11-Dec-2023 12:44:51,11-Dec-2023 12:44:51,
11-Dec-2023 12:34:33,Quarterly Financial Results,Audited,Audited,11-Dec-2023 12:34:33,11-Dec-2023 12:34:33,
10-Nov-2023 17:06:32,Quarterly Financial Results,Audited,Audited,10-Nov-2023 17:06:32,10-Nov-2023 17:06:32,
31-Oct-2023 13:17:27,Quarterly Financial Results,Audited,Audited,31-Oct-2023 13:17:27,31-Oct-2023 13:17:27,
10-Aug-2023 18:07:44,Quarterly Financial Results,Audited,Audited,10-Aug-2023 18:07:44,10-Aug-2023 18:07:44,
24-May-2023 20:17:27,Quarterly Financial Results,Audited,Audited,24-May-2023 20:17:27,24-May-2023 20:17:27,
09-Feb-2023 18:48:43,Quarterly Financial Results,Audited,Audited,09-Feb-2023 18:48:43,09-Feb-2023 18:48:43,
11-Nov-2022 18:50:06,Quarterly Financial Results,Audited,Audited,11-Nov-2022 18:50:06,11-Nov-2022 18:50:06,
19-Oct-2022 18:33:36,Quarterly Financial Results,Audited,Audited,19-Oct-2022 18:33:36,19-Oct-2022 18:33:36,
12-Aug-2022 18:22:27,Quarterly Financial Results,Audited,Audited,12-Aug-2022 18:22:27,12-Aug-2022 18:22:27,
14-Jul-2022 17:01:00,Quarterly Financial Results,Audited,Audited,14-Jul-2022 17:01:00,14-Jul-2022 17:01:00,
04-Jul-2022 17:46:39,Quarterly Financial Results,Audited,Audited,04-Jul-2022 17:46:39,04-Jul-2022 17:46:39,
31-May-2022 09:01:30,Quarterly Financial Results,Audited,Audited,31-May-2022 09:01:30,31-May-2022 09:01:30,
30-May-2022 21:20:24,Quarterly Financial Results,Audited,Audited,30-May-2022 21:20:24,30-May-2022 21:20:24,
