bcEndDate,bcStartDate,caBroadcastDate,comp,exDate,faceVal,ind,isin,ndEndDate,ndStartDate,recDate,series,subject,symbol
-,-,,Hero MotoCorp Limited,24-Jul-2026,2,-,INE158A01026,-,-,24-Jul-2026,EQ,Dividend - Rs 75 Per Share,HEROMOTOCO
-,-,,Hero MotoCorp Limited,11-Feb-2026,2,-,INE158A01026,-,-,11-Feb-2026,EQ,Interim Dividend - Rs 110 Per Share,HEROMOTOCO
-,-,,Hero MotoCorp Limited,24-Jul-2025,2,-,INE158A01026,-,-,24-Jul-2025,EQ,Dividend - Rs 65 Per Share,HEROMOTOCO
-,-,,Hero MotoCorp Limited,12-Feb-2025,2,-,INE158A01026,-,-,12-Feb-2025,EQ,Interim Dividend - Rs 100 Per Share,HEROMOTOCO
12-Aug-2024,02-Aug-2024,,Hero MotoCorp Limited,01-Aug-2024,2,-,INE158A01026,-,-,-,EQ,Annual General Meeting/Dividend - Rs 40 Per Share,HEROMOTOCO
-,-,,Hero MotoCorp Limited,21-Feb-2024,2,-,INE158A01026,-,-,21-Feb-2024,EQ,Interim Dividend - Rs 75 Per Share/ Special Dividend - Rs 25 Per Share,HEROMOTOCO
09-Aug-2023,28-Jul-2023,,Hero MotoCorp Limited,27-Jul-2023,2,-,INE158A01026,-,-,-,EQ,Annual General Meeting/Dividend - Rs  35 Per Share,HEROMOTOCO
-,-,,Hero MotoCorp Limited,17-Feb-2023,2,-,INE158A01026,-,-,17-Feb-2023,EQ,Interim Dividend - Rs  65 Per Share,HEROMOTOCO
09-Aug-2022,29-Jul-2022,,Hero MotoCorp Limited,27-Jul-2022,2,-,INE158A01026,-,-,-,EQ,Annual General Meeting/Dividend - Rs  35 Per Share,HEROMOTOCO
-,-,,Hero MotoCorp Limited,21-Feb-2022,2,-,INE158A01026,-,-,22-Feb-2022,EQ,Interim Dividend - Rs 60 Per Share,HEROMOTOCO
04-Aug-2021,24-Jul-2021,,Hero MotoCorp Limited,22-Jul-2021,2,-,INE158A01026,-,-,-,EQ, Annual General Meeting/Dividend - Rs 25 Per Share/ Special Dividend - Rs 10 Per Share,HEROMOTOCO
-,-,,Hero MotoCorp Limited,15-Feb-2021,2,-,INE158A01026,-,-,16-Feb-2021,EQ, Interim Dividend - Rs 65 Per Share Special Dividend - Rs 5 Per Share,HEROMOTOCO
12-Aug-2020,03-Aug-2020,,Hero MotoCorp Limited,30-Jul-2020,2,-,INE158A01026,-,-,-,EQ, Annual General Meeting/Dividend - Rs 25 Per Share,HEROMOTOCO
-,-,,Hero MotoCorp Limited,17-Feb-2020,2,-,INE158A01026,-,-,18-Feb-2020,EQ, Interim Dividend - Rs 65 Per Sh,HEROMOTOCO
29-Jul-2019,18-Jul-2019,,Hero MotoCorp Limited,16-Jul-2019,2,-,INE158A01026,-,-,-,EQ, Annual General Meeting/Dividend - Rs 32 Per Share,HEROMOTOCO
-,-,,Hero MotoCorp Limited,11-Feb-2019,2,-,INE158A01026,-,-,12-Feb-2019,EQ, Interim Dividend -  Rs 55 Per Share,HEROMOTOCO
24-Jul-2018,13-Jul-2018,,Hero MotoCorp Limited,11-Jul-2018,2,-,INE158A01026,-,-,-,EQ, Annual General Meeting / Dividend- Rs 40 Per Share,HEROMOTOCO
-,-,,Hero MotoCorp Limited,15-Feb-2018,2,-,INE158A01026,-,-,17-Feb-2018,EQ, Interim Dividend Rs 55/- Per Share,HEROMOTOCO
14-Jul-2017,04-Jul-2017,,Hero MotoCorp Limited,30-Jun-2017,2,-,INE158A01026,-,-,-,EQ, Annual General Meeting/Dividend - Rs 30/- Per Share,HEROMOTOCO
-,-,,Hero MotoCorp Limited,16-Mar-2017,2,-,INE158A01026,-,-,18-Mar-2017,EQ, Interim Dividend Rs 55/- Per Share,HEROMOTOCO
