date,adj
2007-07-09,297.3311767578125
2007-07-10,284.4364929199219
2007-07-11,299.3077392578125
2007-07-12,298.8371276855469
2007-07-13,288.9543151855469
2007-07-16,295.072265625
2007-07-17,287.58953857421875
2007-07-18,288.0601501464844
2007-07-19,286.1307067871094
2007-07-20,274.8360290527344
2007-07-23,265.1415100097656
2007-07-24,267.3063049316406
2007-07-25,258.8353271484375
2007-07-26,262.6943359375
2007-07-27,237.18727111816406
2007-07-30,228.43392944335938
2007-07-31,238.1284942626953
2007-08-01,208.66831970214844
2007-08-02,202.5974578857422
2007-08-03,207.53884887695312
2007-08-06,199.39730834960938
2007-08-07,213.18617248535156
2007-08-08,216.43338012695312
2007-08-09,202.40921020507812
2007-08-10,201.42092895507812
2007-08-13,216.48043823242188
2007-08-14,225.89263916015625
2007-08-16,208.95069885253906
2007-08-17,200.8091583251953
2007-08-20,203.3975067138672
2007-08-21,188.8556365966797
2007-08-22,186.59674072265625
2007-08-23,181.98475646972656
2007-08-24,184.6201629638672
2007-08-27,194.8323974609375
2007-08-28,211.5861053466797
2007-08-29,218.033447265625
2007-08-30,213.6097412109375
2007-08-31,214.92742919921875
2007-09-03,217.04518127441406
2007-09-04,217.1863555908203
2007-09-05,213.98622131347656
2007-09-06,213.092041015625
2007-09-07,209.37423706054688
2007-09-10,205.0446319580078
2007-09-11,206.4564666748047
2007-09-12,207.96240234375
2007-09-13,206.50350952148438
2007-09-14,201.7503662109375
2007-09-17,204.19752502441406
2007-09-18,202.26803588867188
2007-09-19,205.09169006347656
2007-09-20,207.06825256347656
2007-09-21,204.4799041748047
2007-09-24,199.06788635253906
2007-09-25,193.37350463867188
2007-09-26,192.0087432861328
2007-09-27,192.94996643066406
2007-09-28,189.2792205810547
2007-10-01,189.93804931640625
2007-10-03,184.94960021972656
2007-10-04,185.655517578125
2007-10-05,179.3022918701172
2007-10-08,161.6544189453125
2007-10-09,170.1724395751953
2007-10-10,166.07814025878906
2007-10-11,161.6544189453125
2007-10-12,158.1719207763672
2007-10-15,163.58392333984375
2007-10-16,163.06625366210938
2007-10-17,158.45428466796875
2007-10-18,157.5130615234375
2007-10-19,148.57147216796875
2007-10-22,141.2770233154297
2007-10-23,159.583740234375
2007-10-24,169.56065368652344
2007-10-25,165.32516479492188
2007-10-26,166.4546356201172
2007-10-29,181.702392578125
2007-10-30,169.51361083984375
2007-10-31,166.5487518310547
2007-11-01,156.61891174316406
2007-11-02,158.12484741210938
2007-11-05,152.28929138183594
2007-11-06,147.11257934570312
