date,adj
2022-06-20,1049.4888916015625
2022-06-21,1085.0469970703125
2022-06-22,1045.6190185546875
2022-06-23,1050.809326171875
2022-06-24,1087.824462890625
2022-06-27,1085.72998046875
2022-06-28,1069.658203125
2022-06-29,1104.8065185546875
2022-06-30,1089.0992431640625
2022-07-01,1114.5953369140625
2022-07-04,1095.382080078125
2022-07-05,1101.938232421875
2022-07-06,1099.251953125
2022-07-07,1110.04248046875
2022-07-08,1106.263671875
2022-07-11,1125.7044677734375
2022-07-12,1145.919189453125
2022-07-13,1170.68701171875
2022-07-14,1160.1243896484375
2022-07-15,1173.0545654296875
2022-07-18,1207.9298095703125
2022-07-19,1218.447021484375
2022-07-20,1197.4581298828125
2022-07-21,1198.5509033203125
2022-07-22,1213.939697265625
2022-07-25,1219.7674560546875
2022-07-26,1221.9073486328125
2022-07-27,1223.77392578125
2022-07-28,1230.3302001953125
2022-07-29,1254.2781982421875
2022-08-01,1344.8355712890625
2022-08-02,1299.5341796875
2022-08-03,1306.363525390625
2022-08-04,1263.8839111328125
2022-08-05,1227.771728515625
2022-08-08,1188.14306640625
2022-08-10,1218.60107421875
2022-08-11,1163.6246337890625
2022-08-12,1144.7132568359375
2022-08-16,1145.80615234375
2022-08-17,1158.017822265625
2022-08-18,1161.771728515625
2022-08-19,1146.186279296875
2022-08-22,1109.1712646484375
2022-08-23,1113.9228515625
2022-08-24,1120.480224609375
2022-08-25,1126.6572265625
2022-08-26,1105.1796875
2022-08-29,1101.3785400390625
2022-08-30,1114.11279296875
2022-09-01,1111.2618408203125
2022-09-02,1124.661376953125
2022-09-05,1116.3935546875
2022-09-06,1117.5816650390625
2022-09-07,1118.9119873046875
2022-09-08,1120.860107421875
2022-09-09,1111.2618408203125
2022-09-12,1109.6939697265625
2022-09-13,1104.2294921875
2022-09-14,1112.354736328125
2022-09-15,1112.4022216796875
2022-09-16,1102.3763427734375
2022-09-19,1099.3829345703125
2022-09-20,1107.6507568359375
2022-09-21,1091.0673828125
2022-09-22,1091.2099609375
2022-09-23,1089.309326171875
2022-09-26,1060.3720703125
2022-09-27,1085.5081787109375
2022-09-28,1066.92919921875
2022-09-29,1084.1776123046875
2022-09-30,1074.484375
2022-10-03,1075.482177734375
2022-10-04,1084.65283203125
2022-10-06,1122.5706787109375
2022-10-07,1163.52978515625
2022-10-10,1151.032958984375
2022-10-11,1131.50390625
2022-10-12,1150.2252197265625
2022-10-13,1122.808349609375
2022-10-14,1101.236083984375
2022-10-17,1097.434814453125
2022-10-18,1105.037353515625
2022-10-19,1111.5469970703125
2022-10-20,1104.3719482421875
2022-10-21,1116.7738037109375
2022-10-24,1132.1217041015625
2022-10-25,1117.8668212890625
2022-10-27,1123.2359619140625
2022-10-28,1110.5491943359375
2022-10-31,1152.4583740234375
2022-11-01,1148.277099609375
2022-11-02,1168.2813720703125
2022-11-03,1209.287841796875
2022-11-04,1188.85595703125
2022-11-07,1165.858154296875
2022-11-09,1232.2381591796875
2022-11-10,1239.460693359375
2022-11-11,1202.6356201171875
2022-11-14,1183.771728515625
2022-11-15,1178.4500732421875
2022-11-16,1176.6917724609375
2022-11-17,1165.1927490234375
2022-11-18,1168.66162109375
2022-11-21,1148.752197265625
2022-11-22,1151.1754150390625
2022-11-23,1138.4410400390625
2022-11-24,1131.21875
2022-11-25,1140.9595947265625
2022-11-28,1163.4346923828125
2022-11-29,1167.2835693359375
2022-11-30,1186.0999755859375
2022-12-01,1183.5341796875
2022-12-02,1171.369873046875
2022-12-05,1152.8385009765625
2022-12-06,1161.9140625
2022-12-07,1149.9403076171875
2022-12-08,1144.000732421875
2022-12-09,1154.54931640625
2022-12-12,1156.544921875
2022-12-13,1143.7630615234375
2022-12-14,1145.0933837890625
2022-12-15,1125.706787109375
2022-12-16,1133.3095703125
2022-12-19,1137.9185791015625
2022-12-20,1138.536376953125
2022-12-21,1120.385009765625
2022-12-22,1093.3482666015625
2022-12-23,1056.190673828125
2022-12-26,1078.9508056640625
2022-12-27,1089.737060546875
2022-12-28,1104.9422607421875
2022-12-29,1098.1475830078125
2022-12-30,1107.0330810546875
2023-01-02,1134.0697021484375
2023-01-03,1134.212158203125
2023-01-04,1130.1258544921875
2023-01-05,1116.108642578125
2023-01-06,1105.5125732421875
2023-01-09,1105.227294921875
2023-01-10,1100.3331298828125
2023-01-11,1101.996337890625
2023-01-12,1099.430419921875
2023-01-13,1098.8602294921875
2023-01-16,1082.609619140625
2023-01-17,1084.747802734375
2023-01-18,1088.5966796875
2023-01-19,1086.9810791015625
2023-01-20,1078.1907958984375
2023-01-23,1082.5621337890625
2023-01-24,1086.17333984375
2023-01-25,1081.516845703125
2023-01-27,1066.5491943359375
2023-01-30,1065.9315185546875
2023-01-31,1072.631103515625
2023-02-01,1041.460693359375
2023-02-02,1062.79541015625
2023-02-03,1048.2554931640625
2023-02-06,1051.9141845703125
2023-02-07,1053.1495361328125
2023-02-08,1057.80615234375
2023-02-09,1067.4520263671875
2023-02-10,1062.6053466796875
2023-02-13,1026.492919921875
2023-02-14,1035.1885986328125
2023-02-15,1037.32666015625
2023-02-16,1036.4237060546875
2023-02-17,1031.8624267578125
2023-02-20,1011.66796875
2023-02-21,1022.50146484375
2023-02-22,1080.328857421875
2023-02-23,1087.028564453125
2023-02-24,1066.6915283203125
2023-02-27,1039.4649658203125
2023-02-28,1029.343994140625
2023-03-01,1047.4951171875
2023-03-02,1036.28125
2023-03-03,1031.67236328125
2023-03-06,1042.03076171875
2023-03-08,1032.099853515625
2023-03-09,1039.6549072265625
2023-03-10,1028.5836181640625
2023-03-13,1026.8731689453125
2023-03-14,999.55126953125
2023-03-15,997.5554809570312
2023-03-16,989.5253295898438
2023-03-17,991.568603515625
2023-03-20,979.7845458984375
2023-03-21,979.3568725585938
2023-03-22,982.39794921875
2023-03-23,970.9464721679688
2023-03-24,963.58154296875
2023-03-27,964.0092163085938
2023-03-28,947.7110595703125
2023-03-29,929.7498779296875
2023-03-31,937.7802124023438
2023-04-03,947.1409301757812
2023-04-05,958.9723510742188
2023-04-06,963.7716064453125
2023-04-10,968.14306640625
2023-04-11,1002.9725341796875
2023-04-12,1020.5534057617188
2023-04-13,1019.88818359375
2023-04-17,975.1754150390625
2023-04-18,1011.6203002929688
2023-04-19,1003.8278198242188
2023-04-20,1011.0501708984375
2023-04-21,1032.6700439453125
2023-04-24,1043.6939697265625
2023-04-25,1052.436767578125
2023-04-26,1069.6378173828125
2023-04-27,1074.579345703125
2023-04-28,1080.6138916015625
2023-05-02,1089.784423828125
2023-05-03,1095.5814208984375
2023-05-04,1077.4302978515625
2023-05-05,1074.3892822265625
2023-05-08,1068.4971923828125
2023-05-09,1072.8211669921875
2023-05-10,1065.7889404296875
2023-05-11,1072.7738037109375
2023-05-12,1062.2728271484375
2023-05-15,1070.302978515625
2023-05-16,1057.80615234375
2023-05-17,1070.6356201171875
2023-05-18,1113.6376953125
2023-05-19,1103.9443359375
2023-05-22,1097.3394775390625
2023-05-23,1103.9443359375
2023-05-24,1107.7457275390625
2023-05-25,1081.564208984375
2023-05-26,1068.4971923828125
2023-05-29,1069.5426025390625
2023-05-30,1062.5577392578125
2023-05-31,1058.614013671875
2023-06-01,1064.696044921875
2023-06-02,1064.6485595703125
2023-06-05,1064.031005859375
2023-06-06,1074.7694091796875
2023-06-07,1093.063232421875
2023-06-08,1093.3482666015625
2023-06-09,1093.063232421875
2023-06-12,1088.691650390625
2023-06-13,1085.36572265625
2023-06-14,1088.216552734375
2023-06-15,1082.2296142578125
2023-06-16,1094.583740234375
2023-06-19,1092.968017578125
2023-06-20,1083.1798095703125
2023-06-21,1083.227294921875
2023-06-22,1166.095703125
2023-06-23,1150.3201904296875
2023-06-26,1129.6507568359375
2023-06-27,1138.1561279296875
2023-06-28,1130.8861083984375
2023-06-30,1124.56640625
2023-07-03,1123.615966796875
2023-07-04,1123.7586669921875
2023-07-05,1131.1236572265625
2023-07-06,1174.74365234375
2023-07-07,1167.9962158203125
2023-07-10,1165.3829345703125
2023-07-11,1162.95947265625
2023-07-12,1159.5384521484375
2023-07-13,1159.728515625
2023-07-14,1157.30517578125
2023-07-17,1163.0072021484375
2023-07-18,1160.7738037109375
2023-07-19,1167.7587890625
2023-07-20,1165.858154296875
2023-07-21,1165.9053955078125
2023-07-24,1165.762939453125
2023-07-25,1171.797607421875
2023-07-26,1174.648681640625
2023-07-27,1183.72412109375
2023-07-28,1180.39794921875
2023-07-31,1191.8494873046875
2023-08-01,1201.1151123046875
2023-08-02,1194.6053466796875
2023-08-03,1187.4779052734375
2023-08-04,1188.7891845703125
2023-08-07,1175.2879638671875
2023-08-08,1181.84423828125
2023-08-09,1186.7979736328125
2023-08-10,1214.7718505859375
2023-08-11,1210.6436767578125
2023-08-14,1190.926025390625
2023-08-16,1186.3609619140625
2023-08-17,1181.0672607421875
2023-08-18,1173.0054931640625
