Metric,Dec 2022,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,18.10,18.10,15.76,12.51,17.28,19.70,18.73,17.39,24.44,23.56,20.49,33.92,38.91
  └─ YOY Sales Growth %,,,,-31%,,9%,19%,39%,41%,20%,9%,95%,59%
Expenses,16.33,16.33,14.87,11.38,16.11,18.57,17.31,16.60,23.34,22.33,19.44,32.03,36.52
  └─ Material Cost %,73%,73%,75%,57%,72%,78%,77%,79%,67%,80%,70%,77%,77%
  └─ Employee Cost %,8%,8%,9%,11%,8%,7%,7%,8%,6%,6%,7%,5%,6%
Operating Profit,1.77,1.77,0.89,1.13,1.17,1.13,1.42,0.79,1.10,1.23,1.05,1.89,2.39
OPM %,9.78%,9.78%,5.65%,9.03%,6.77%,5.74%,7.58%,4.54%,4.50%,5.22%,5.12%,5.57%,6.14%
Other Income,0.15,0.15,0.13,0.05,-0.16,0.08,0.07,0.08,0.09,0.04,0.01,-0.07,0.01
  └─ Exceptional items,0.00,0.00,0.00,0.00,-0.14,0.00,0.00,0.00,0.00,0.00,0.00,-0.08,0.00
  └─ Other income normal,0.15,0.15,0.13,0.05,-0.02,0.08,0.07,0.08,0.09,0.04,0.01,0.01,0.01
Interest,0.41,0.41,0.32,0.44,0.50,0.56,0.40,0.42,0.21,0.21,0.18,0.29,0.58
Depreciation,0.29,0.29,0.37,0.40,0.37,0.14,0.15,0.16,0.16,0.16,0.13,0.12,0.12
Profit before tax,1.22,1.22,0.33,0.34,0.14,0.51,0.94,0.29,0.82,0.90,0.75,1.41,1.70
Tax %,26.23%,26.23%,21.21%,47.06%,-14.29%,25.49%,25.53%,20.69%,40.24%,26.67%,24.00%,33.33%,18.24%
Net Profit,0.91,0.91,0.25,0.17,0.16,0.38,0.70,0.24,0.49,0.66,0.58,0.94,1.39
  └─ Exceptional items AT,0,0,0,0,-0,0,0,0,0,0,0,-0,0
  └─ Profit excl Excep,1,1,0,0,0,0,1,0,0,1,1,1,1
  └─ Profit for PE,1,1,0,0,0,0,1,0,0,1,1,1,1
  └─ Profit for EPS,1,1,0,0,0,0,1,0,0,1,1,1,1
  └─ YOY Profit Growth %,,,,-81%,,-58%,180%,41%,63%,74%,-17%,312%,184%
EPS in Rs,0.16,0.16,0.04,0.03,0.03,0.07,0.12,0.04,0.09,0.11,0.10,0.16,0.24
Raw PDF,,,,,,,,,,,,,
