Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,80,70,64,86,85,74,85,105,92,83,75,118,110
  └─ YOY Sales Growth %,74.24%,0.99%,3.68%,2.77%,4.98%,5.95%,33.41%,22.44%,9.31%,12.05%,-12.01%,11.64%,19.20%
Expenses,53,47,45,60,61,61,63,61,68,65,67,79,78
  └─ Material Cost %,7.39%,8.27%,8.28%,9.33%,8.67%,9.95%,8.09%,8.46%,8.30%,8.57%,9.21%,9.05%,8.93%
  └─ Employee Cost %,16.65%,20.34%,21.50%,18.05%,20.46%,22.95%,23.06%,17.30%,20.25%,25.74%,29.63%,19.48%,20.78%
Operating Profit,27,23,19,26,23,13,22,44,25,18,8,39,32
OPM %,34%,33%,29%,30%,27%,18%,26%,42%,27%,22%,10%,33%,29%
Other Income,232,-0,2,35,5,5,2,2,2,2,4,-2,10
  └─ Exceptional items,227.92,-3.00,0.00,32.52,0.00,2.73,0.00,0.00,-0.35,0.41,2.50,-3.68,0.74
  └─ Other income normal,4.24,2.55,2.34,2.18,4.85,2.16,1.74,1.97,2.31,1.84,1.81,1.77,8.77
Interest,-10,16,16,13,15,11,8,6,5,6,6,7,10
Depreciation,4,4,4,5,5,5,5,5,5,6,7,7,8
Profit before tax,265,3,0,43,8,2,12,36,16,8,-1,23,24
Tax %,-2%,57%,92%,2%,74%,45%,29%,26%,32%,46%,311%,17%,27%
Net Profit,271,1,0,42,2,1,8,26,11,4,-2,19,17
  └─ Minority share,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.59,-0.75,-1.76,-1.07
  └─ Exceptional items AT,227.90,-1.53,0.00,30.40,0.00,1.84,0.00,0.00,-0.24,0.22,0.42,-2.87,0.51
  └─ Profit excl Excep,43.26,2.64,0.03,11.17,2.13,-0.77,8.35,26.18,11.23,4.01,-2.61,21.93,16.95
  └─ Profit for PE,43.26,2.64,0.03,11.17,2.13,-0.77,8.35,26.18,11.23,3.45,-3.36,19.90,15.91
  └─ Profit for EPS,271.16,1.11,0.03,41.57,2.13,1.07,8.35,26.18,10.99,3.64,-2.94,17.30,16.39
  └─ YOY Profit Growth %,1667.39%,-77.20%,-98.73%,-42.24%,-95.08%,-129.17%,27733.33%,134.38%,427.23%,548.14%,-140.24%,-23.97%,41.69%
EPS in Rs,109.99,0.45,0.01,16.86,0.82,0.40,2.83,8.88,3.73,1.23,-1.00,5.87,5.56
Raw PDF,,,,,,,,,,,,,
