Metric,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,60.05,51.82,55.19,60.73,66.75,59.51,65.09,72.59,78.73,77.69,81.41
  └─ YOY Sales Growth %,,,,,11.16%,14.84%,17.94%,19.53%,17.95%,30.55%,25.07%
Expenses,39.22,36.50,35.72,40.12,43.55,41.26,45.91,48.85,54.61,54.53,57.04
  └─ Material Cost %,12.44%,12.18%,11.92%,10.93%,11.88%,10.25%,13.60%,12.05%,11.30%,11.16%,12.48%
  └─ Employee Cost %,17.12%,19.92%,16.31%,17.09%,16.51%,18.97%,15.67%,17.59%,17.01%,17.27%,16.79%
Operating Profit,20.83,15.32,19.47,20.61,23.20,18.25,19.18,23.74,24.12,23.16,24.37
OPM %,34.69%,29.56%,35.28%,33.94%,34.76%,30.67%,29.47%,32.70%,30.64%,29.81%,29.93%
Other Income,0.56,0.85,0.20,1.12,1.31,0.60,0.82,0.91,0.85,0.62,0.79
  └─ Exceptional items,0.00,0.00,-0.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other income normal,0.56,0.85,0.98,1.12,1.31,0.60,0.82,0.91,0.85,0.62,0.79
Interest,2.48,2.03,2.08,2.22,2.13,1.98,2.06,2.70,2.78,3.16,3.92
Depreciation,7.95,7.92,8.36,8.99,8.75,8.83,8.73,9.48,10.14,10.56,11.26
Profit before tax,10.96,6.22,9.23,10.52,13.63,8.04,9.21,12.47,12.05,10.06,9.98
Tax %,24.00%,27.01%,31.53%,27.00%,25.53%,25.62%,22.15%,26.46%,26.72%,28.03%,38.28%
Net Profit,8.34,4.53,6.32,7.67,10.15,5.98,7.17,9.18,8.83,7.24,6.16
  └─ Minority share,0.07,0.12,0.20,0.27,0.19,0.17,0.22,0.22,0.16,0.28,0.12
  └─ Exceptional items AT,0.00,0.00,-0.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Profit excl Excep,8.34,4.53,6.85,7.67,10.15,5.98,7.17,9.18,8.83,7.24,6.16
  └─ Profit for PE,8.41,4.65,7.05,7.94,10.34,6.15,7.39,9.40,8.99,7.52,6.28
  └─ Profit for EPS,8.41,4.65,6.52,7.94,10.34,6.15,7.39,9.40,8.99,7.52,6.28
  └─ YOY Profit Growth %,,,,,22.95%,32.26%,4.82%,18.39%,-13.06%,22.28%,-15.02%
EPS in Rs,121.88,67.39,94.49,1.84,2.40,1.18,1.42,1.80,1.73,1.44,1.21
Raw PDF,,,,,,,,,,,
