Metric,Mar 2020,Sep 2020,Mar 2021,Sep 2021,Mar 2022
  └─ Material Cost %,80%,76%,54%,75%,69%
  └─ Employee Cost %,1%,2%,1%,1%,2%
  └─ Exceptional items,-0.01,0.00,0.00,0.00,0.00
  └─ Other income normal,0.00,0.00,0.04,0.02,0.16
  └─ Exceptional items AT,-0.01,0.00,0.00,0.00,0.00
  └─ Profit excl Excep,1.33,1.48,3.42,2.46,2.60
  └─ Profit for PE,1.33,1.48,3.42,2.46,2.60
  └─ Profit for EPS,1.32,1.48,3.42,2.46,2.60
