Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,3.61,1.87,1.91,1.49,2.20,1.64,3.32,3.86,4.84,6.70,5.13,4.05,6.00
  └─ YOY Sales Growth %,993.94%,65.49%,-44.80%,-31.65%,-39.06%,-12.30%,73.82%,159.06%,120.00%,308.54%,54.52%,4.92%,23.97%
Expenses,2.42,1.32,1.34,0.90,1.44,0.96,2.59,2.07,2.10,2.84,1.72,1.58,2.92
  └─ Employee Cost %,6.09%,55.08%,42.93%,42.28%,30.00%,33.54%,38.55%,30.83%,28.10%,16.87%,19.49%,22.96%,14.83%
Operating Profit,1.19,0.55,0.57,0.59,0.76,0.68,0.73,1.79,2.74,3.86,3.41,2.47,3.08
OPM %,32.96%,29.41%,29.84%,39.60%,34.55%,41.46%,21.99%,46.37%,56.61%,57.61%,66.47%,60.99%,51.33%
Other Income,0.01,0.01,0.01,0.00,0.02,0.01,0.01,0.28,0.63,0.22,0.44,0.15,0.26
  └─ Other income normal,0.01,0.01,0.01,0.00,0.02,0.01,0.01,0.28,0.63,0.22,0.44,0.15,0.26
Interest,0.75,0.13,0.12,0.12,0.26,0.16,0.15,0.00,0.00,0.00,0.00,0.00,0.00
Depreciation,0.18,0.19,0.18,0.18,0.19,0.17,0.17,0.39,0.73,0.76,1.23,1.39,1.65
Profit before tax,0.27,0.24,0.28,0.29,0.33,0.36,0.42,1.68,2.64,3.32,2.62,1.23,1.69
Tax %,3.70%,0.00%,0.00%,0.00%,0.00%,2.78%,0.00%,4.17%,33.71%,2.11%,3.82%,4.07%,1.78%
Net Profit,0.26,0.23,0.28,0.30,0.33,0.35,0.41,1.61,1.75,3.24,2.51,1.18,1.66
  └─ Profit excl Excep,0.26,0.23,0.28,0.30,0.33,0.35,0.41,1.61,1.75,3.24,2.51,1.18,1.66
  └─ Profit for PE,0.26,0.23,0.28,0.30,0.33,0.35,0.41,1.61,1.75,3.24,2.51,1.18,1.66
  └─ Profit for EPS,0.26,0.23,0.28,0.30,0.33,0.35,0.41,1.61,1.75,3.24,2.51,1.18,1.66
  └─ YOY Profit Growth %,111.06%,115.03%,275.00%,100.00%,26.92%,52.17%,46.43%,436.67%,430.30%,825.71%,512.20%,-26.71%,-5.14%
EPS in Rs,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.02,0.01,0.02
Raw PDF,,,,,,,,,,,,,
