Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,3.13,3.57,4.29,3.99,4.27,5.57,5.58,5.80,5.51,13.61,18.95,14.25,12.67
  └─ YOY Sales Growth %,18%,22%,44%,32%,36%,56%,30%,45%,29%,144%,240%,146%,130%
Expenses,2.63,3.03,3.59,3.35,3.46,4.65,4.68,4.96,4.48,11.24,17.86,16.67,14.71
  └─ Employee Cost %,74%,75%,73%,75%,75%,76%,77%,78%,74%,74%,83%,96%,84%
Operating Profit,0.50,0.54,0.70,0.64,0.81,0.92,0.90,0.84,1.03,2.37,1.09,-2.42,-2.04
OPM %,15.97%,15.13%,16.32%,16.04%,18.97%,16.52%,16.13%,14.48%,18.69%,17.41%,5.75%,-16.98%,-16.10%
Other Income,0.58,0.40,0.48,0.42,0.47,0.44,0.48,0.92,0.44,0.52,0.81,0.66,1.49
  └─ Exceptional items,0.13,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other income normal,0.45,0.37,0.47,0.42,0.47,0.44,0.48,0.92,0.44,0.52,0.81,0.66,1.49
Interest,0.04,0.04,0.03,0.03,0.03,0.05,0.05,0.04,0.04,0.08,0.14,0.44,0.43
Depreciation,0.16,0.16,0.16,0.16,0.16,0.25,0.25,0.25,0.25,0.41,0.60,0.80,0.81
Profit before tax,0.88,0.74,0.99,0.87,1.09,1.06,1.08,1.47,1.18,2.40,1.16,-3.00,-1.79
Tax %,4.55%,31.08%,26.26%,27.59%,25.69%,27.36%,25.93%,9.52%,-12.71%,28.33%,56.90%,4.33%,20.67%
Net Profit,0.84,0.52,0.73,0.63,0.81,0.78,0.80,1.32,1.32,1.73,0.50,-3.12,-2.15
  └─ Exceptional items AT,0,0,0,0,0,0,0,0,0,0,0,0,0
  └─ Profit excl Excep,1,0,1,1,1,1,1,1,1,2,0,-3,-2
  └─ Profit for PE,1,0,1,1,1,1,1,1,1,2,0,-3,-2
  └─ Profit for EPS,1,1,1,1,1,1,1,1,1,2,0,-3,-2
  └─ YOY Profit Growth %,8%,-72%,-54%,34%,14%,59%,11%,110%,63%,122%,-38%,-336%,-263%
EPS in Rs,0.67,0.41,0.58,0.50,0.64,0.62,0.64,1.05,1.05,1.37,0.40,-2.48,-1.71
Raw PDF,,,,,,,,,,,,,
