Metric,Dec 2020,Jun 2021,Sep 2021,Dec 2021,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,13.26,12.63,16.97,21.13,37.33,24.78,32.33,27.05,24.43,24.67,30.32,21.11,33.20
  └─ YOY Sales Growth %,,,47.31%,59.35%,,,,,-34.56%,-0.44%,-6.22%,-21.96%,35.90%
Expenses,10.08,9.58,12.52,15.36,20.39,16.65,21.02,17.14,14.55,17.37,20.70,14.38,21.82
  └─ Material Cost %,47.89%,48.85%,52.56%,51.21%,34.99%,33.86%,40.95%,31.05%,23.91%,35.39%,41.52%,30.03%,42.83%
  └─ Employee Cost %,7.84%,8.00%,6.25%,5.73%,7.55%,9.48%,7.45%,9.83%,11.01%,10.94%,9.80%,13.55%,8.64%
Operating Profit,3.18,3.05,4.45,5.77,16.94,8.13,11.31,9.91,9.88,7.30,9.62,6.73,11.38
OPM %,23.98%,24.15%,26.22%,27.31%,45.38%,32.81%,34.98%,36.64%,40.44%,29.59%,31.73%,31.88%,34.28%
Other Income,0.54,1.11,0.44,0.88,1.32,0.54,0.19,0.71,2.29,0.66,0.69,0.66,1.02
  └─ Other income normal,0.54,1.11,0.44,0.88,1.32,0.54,0.19,0.71,2.29,0.66,0.69,0.66,1.02
Interest,0.02,0.07,0.03,0.03,0.15,0.32,0.44,0.39,0.97,0.94,1.01,0.74,0.88
Depreciation,0.22,0.82,0.95,0.99,1.86,2.02,2.42,2.70,2.42,2.42,2.59,2.67,2.80
Profit before tax,3.48,3.27,3.91,5.63,16.25,6.33,8.64,7.53,8.78,4.60,6.71,3.98,8.72
Tax %,20.40%,28.75%,22.76%,25.40%,22.46%,26.70%,25.81%,27.89%,24.83%,25.00%,26.23%,22.36%,28.21%
Net Profit,2.77,2.34,3.02,4.20,12.59,4.65,6.41,5.42,6.59,3.45,4.96,3.09,6.27
  └─ Profit excl Excep,2.77,2.34,3.02,4.20,12.59,4.65,6.41,5.42,6.59,3.45,4.96,3.09,6.27
  └─ Profit for PE,2.77,2.34,3.02,4.20,12.59,4.65,6.41,5.42,6.59,3.45,4.96,3.09,6.27
  └─ Profit for EPS,2.77,2.34,3.02,4.20,12.59,4.65,6.41,5.42,6.59,3.45,4.96,3.09,6.27
  └─ YOY Profit Growth %,,,-2.27%,51.62%,,,,,-47.66%,-25.81%,-22.62%,-42.99%,-4.86%
EPS in Rs,2.16,1.83,2.36,3.28,9.84,3.62,4.99,4.22,5.13,2.69,3.86,2.41,4.88
Raw PDF,,,,,,,,,,,,,
