Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,58,2,68,143,144,7,3,330,537,840,137,529,87
  └─ YOY Sales Growth %,-70%,-65%,569%,-77%,147%,179%,-95%,131%,272%,12276%,3832%,61%,-84%
Expenses,103,12,19,63,115,15,181,312,560,870,95,439,166
  └─ Material Cost %,8%,95%,8%,-2%,6%,44%,6485%,68%,98%,99%,50%,50%,-92%
  └─ Employee Cost %,1%,122%,3%,14%,12%,81%,149%,7%,1%,1%,4%,2%,5%
Operating Profit,-44,-9,49,80,30,-8,-178,18,-23,-30,42,90,-79
OPM %,-76%,-376%,72%,56%,21%,-123%,-5112%,5%,-4%,-4%,31%,17%,-91%
Other Income,32,6,915,401,9,11,-4,11,35,75,1,7,51
  └─ Exceptional items,-0.02,0.00,93.45,-14.13,0.00,-2.78,-13.93,0.00,19.71,16.98,0.00,0.00,44.79
  └─ Other income normal,31.98,6.26,821.85,415.20,8.63,13.49,10.40,10.55,14.84,58.27,1.35,6.72,5.82
Interest,20,22,23,5,33,15,-8,27,12,18,29,25,27
Depreciation,0,0,0,14,12,0,0,14,0,0,0,1,4
Profit before tax,-32,-25,941,463,-7,-13,-174,-12,-1,27,14,71,-59
Tax %,29%,5%,5%,0%,91%,2%,-36%,-163%,47%,48%,31%,12%,0%
Net Profit,-42,-26,894,463,-13,-13,-111,8,-2,14,10,62,-59
  └─ Minority share,-10,3,-10,2,7,-0,-3,-3,-1,-1,0,-0,-0
  └─ Exceptional items AT,-0,0,89,-14,0,-3,-14,0,20,9,0,0,45
  └─ Profit excl Excep,-42,-26,805,477,-13,-10,-97,8,-21,5,10,62,-104
  └─ Profit for PE,-52,-23,796,478,-7,-11,-100,5,-22,5,10,62,-104
  └─ Profit for EPS,-52,-23,884,464,-7,-14,-114,5,-2,13,10,62,-59
  └─ YOY Profit Growth %,-208%,-288%,29178%,177%,87%,52%,-113%,-99%,-237%,142%,110%,1263%,-371%
EPS in Rs,-1.47,-0.64,17.63,9.26,-0.12,-0.25,-2.12,0.08,-0.04,0.23,0.19,1.15,-1.09
Raw PDF,,,,,,,,,,,,,
