Metric,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2025,Dec 2025,Mar 2026
Sales,0.00,0.13,0.18,0.05,0.03,0.00,0.02,0.03,0.04,0.00,0.51,0.35,0.34
  └─ YOY Sales Growth %,,,-89.02%,-92.54%,,-100.00%,-88.89%,-40.00%,33.33%,,,,-33.33%
Expenses,0.03,0.09,0.20,0.03,0.04,0.03,0.11,0.02,0.05,0.02,0.45,0.27,1.13
  └─ Material Cost %,,0%,28%,0%,0%,,0%,0%,0%,,82%,69%,82%
  └─ Employee Cost %,,23%,6%,0%,0%,,50%,0%,0%,,0%,0%,0%
Operating Profit,-0.03,0.04,-0.02,0.02,-0.01,-0.03,-0.09,0.01,-0.01,-0.02,0.06,0.08,-0.79
OPM %,,30.77%,-11.11%,40.00%,-33.33%,,-450.00%,33.33%,-25.00%,,11.76%,22.86%,-232.35%
Other Income,0.00,0.00,0.13,0.00,0.00,0.00,0.10,0.00,0.00,0.03,0.00,0.00,0.00
  └─ Other income normal,0.00,0.00,0.13,0.00,0.00,0.00,0.10,0.00,0.00,0.03,0.00,0.00,0.00
Interest,0.00,0.00,0.02,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Depreciation,0.05,0.03,0.05,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01
Profit before tax,-0.08,0.01,0.04,0.00,-0.04,-0.05,-0.01,0.00,-0.02,0.00,0.05,0.07,-0.80
Tax %,0.00%,0.00%,0.00%,,0.00%,0.00%,0.00%,,0.00%,,0.00%,14.29%,-26.25%
Net Profit,-0.08,0.02,0.04,0.00,-0.04,-0.04,-0.01,-0.01,-0.01,0.00,0.05,0.07,-0.59
  └─ Minority share,0,0,0,0,0,0,0,0,0,0,0,0,0
  └─ Profit excl Excep,-0,0,0,0,-0,-0,-0,-0,-0,0,0,0,-1
  └─ Profit for PE,-0,0,0,0,-0,-0,-0,-0,-0,0,0,0,-1
  └─ Profit for EPS,-0,0,0,0,-0,-0,-0,-0,-0,0,0,0,-1
  └─ YOY Profit Growth %,,,105%,,50%,-300%,-125%,,75%,100%,,,-1280%
EPS in Rs,-0.08,0.02,0.04,0.00,-0.04,-0.04,-0.01,-0.01,-0.01,0.00,0.05,0.08,-0.56
Raw PDF,,,,,,,,,,,,,
