Metric,Mar 2026
Sales,177.12
Expenses,167.90
  └─ Employee Cost %,8.59%
Operating Profit,9.22
OPM %,5.21%
Other Income,1.62
  └─ Other income normal,1.62
Interest,1.41
Depreciation,1.43
Profit before tax,8.00
Tax %,20.62%
Net Profit,6.35
  └─ Profit excl Excep,6.35
  └─ Profit for PE,6.35
  └─ Profit for EPS,6.35
EPS in Rs,3.33
Raw PDF,
