Metric,Sep 2019,Sep 2020
  └─ Material Cost %,58%,60%
  └─ Employee Cost %,11%,21%
  └─ Other income normal,0.00,0.02
  └─ Profit excl Excep,0.28,0.13
  └─ Profit for PE,0.28,0.13
  └─ Profit for EPS,0.28,0.13
