Metric,Dec 2018,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021
Sales,19.63,18.13,16.17,18.35,17.28,16.59,8.98,13.62,17.23,24.66,21.95,23.28,32.87
  └─ YOY Sales Growth %,-5%,-6%,-13%,-10%,-12%,-8%,-44%,-26%,-0%,49%,144%,71%,91%
Expenses,17.61,15.68,13.71,15.11,14.13,12.94,8.40,11.08,13.71,20.62,19.21,19.63,29.50
  └─ Material Cost %,43%,38%,35%,40%,39%,34%,31%,37%,42%,57%,62%,58%,71%
  └─ Employee Cost %,19%,19%,21%,17%,17%,17%,25%,17%,14%,10%,10%,11%,8%
Operating Profit,2.02,2.45,2.46,3.24,3.15,3.65,0.58,2.54,3.52,4.04,2.74,3.65,3.37
OPM %,10.29%,13.51%,15.21%,17.66%,18.23%,22.00%,6.46%,18.65%,20.43%,16.38%,12.48%,15.68%,10.25%
Other Income,0.14,0.46,0.16,0.35,0.16,0.22,0.18,0.04,0.06,0.19,0.14,0.14,0.38
  └─ Other income normal,0.14,0.46,0.16,0.35,0.16,0.22,0.18,0.04,0.06,0.19,0.14,0.14,0.38
Interest,0.26,0.27,0.28,0.36,0.38,0.32,0.36,0.38,0.32,0.33,0.33,0.23,0.21
Depreciation,2.75,2.90,3.04,3.30,3.29,3.27,3.15,2.81,2.62,2.42,2.36,2.31,2.23
Profit before tax,-0.85,-0.26,-0.70,-0.07,-0.36,0.28,-2.75,-0.61,0.64,1.48,0.19,1.25,1.31
Tax %,-11.76%,15.38%,-14.29%,42.86%,8.33%,467.86%,-26.91%,-21.31%,29.69%,36.49%,26.32%,28.00%,29.01%
Net Profit,-0.75,-0.30,-0.60,-0.09,-0.40,-1.03,-2.01,-0.49,0.44,0.94,0.14,0.91,0.93
  └─ Profit excl Excep,-1,-0,-1,-0,-0,-1,-2,-0,0,1,0,1,1
  └─ Profit for PE,-1,-0,-1,-0,-0,-1,-2,-0,0,1,0,1,1
  └─ Profit for EPS,-1,-0,-1,-0,-0,-1,-2,-0,0,1,0,1,1
  └─ YOY Profit Growth %,-44%,27%,46%,91%,47%,-243%,-235%,-444%,210%,191%,107%,286%,111%
EPS in Rs,-0.21,-0.08,-0.17,-0.02,-0.11,-0.28,-0.56,-0.14,0.12,0.26,0.04,0.25,0.26
Raw PDF,,,,,,,,,,,,,
