Metric,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025
Sales,169.83,175.09,167.61,112.83,179.08,289.61,136.15,94.81,146.52,43.39,78.65,315.01,75.38
  └─ YOY Sales Growth %,286.59%,314.81%,87.44%,-9.43%,5.45%,65.41%,-18.77%,-15.97%,-18.18%,-85.02%,-42.23%,232.25%,-48.55%
Expenses,90.22,39.63,77.43,44.85,108.44,214.94,73.77,63.11,72.50,38.61,46.47,292.26,48.12
  └─ Material Cost %,-9.47%,-21.17%,-16.03%,-37.84%,-2.07%,36.37%,-18.11%,-14.27%,-20.01%,-173.13%,-19.71%,72.22%,-29.28%
  └─ Employee Cost %,0.19%,0.14%,0.11%,0.43%,0.32%,0.17%,0.50%,0.61%,0.48%,0.58%,0.58%,0.15%,1.14%
Operating Profit,79.61,135.46,90.18,67.98,70.64,74.67,62.38,31.70,74.02,4.78,32.18,22.75,27.26
OPM %,46.88%,77.37%,53.80%,60.25%,39.45%,25.78%,45.82%,33.44%,50.52%,11.02%,40.92%,7.22%,36.16%
Other Income,-9.73,4.38,6.68,2.66,9.51,37.13,10.60,4.77,3.67,57.08,35.37,2.40,3.73
  └─ Exceptional items,-12.22,0.00,0.00,0.00,0.00,32.87,0.00,0.00,0.00,0.00,32.52,0.00,0.00
  └─ Other income normal,2.49,4.38,6.68,2.66,9.51,4.26,10.60,4.77,3.67,57.08,2.85,2.40,3.73
Interest,12.16,7.16,9.20,8.18,7.43,6.33,6.01,5.49,5.36,4.57,4.45,4.24,4.23
Depreciation,21.79,22.56,20.06,18.37,21.33,20.27,18.47,17.58,19.86,21.71,18.36,16.94,19.90
Profit before tax,35.93,110.12,67.60,44.09,51.39,85.20,48.50,13.40,52.47,35.58,44.74,3.97,6.86
Tax %,-3.90%,3.14%,2.28%,2.09%,9.38%,17.12%,13.59%,19.33%,17.44%,-43.82%,1.94%,28.72%,-20.70%
Net Profit,37.34,106.65,66.07,43.18,46.57,70.61,41.92,10.81,43.32,51.16,43.87,2.83,8.28
  └─ Exceptional items AT,-12,0,0,0,0,27,0,0,0,0,32,0,0
  └─ Profit excl Excep,50,107,66,43,47,43,42,11,43,51,12,3,8
  └─ Profit for PE,50,107,66,43,47,43,42,11,43,51,12,3,8
  └─ Profit for EPS,37,107,66,43,47,71,42,11,43,51,44,3,8
  └─ YOY Profit Growth %,159%,1501%,104%,144%,-6%,-59%,-37%,-75%,-7%,18%,-71%,-74%,-81%
EPS in Rs,2.82,8.06,5.00,3.27,3.52,5.34,3.17,0.82,3.28,3.87,3.32,0.21,0.63
Raw PDF,,,,,,,,,,,,,
