Metric,Mar 2020,Sep 2020,Mar 2021,Sep 2021,Mar 2022,Sep 2022,Mar 2023,Sep 2023,Mar 2024,Sep 2024,Mar 2025,Sep 2025,Mar 2026
Sales,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,1.36,3.32
Expenses,0.59,0.02,0.15,0.03,0.07,0.04,0.06,0.06,0.18,0.11,0.19,1.20,3.17
  └─ Employee Cost %,,,,,,,,,,,6.06%,2.94%,4.52%
Operating Profit,-0.59,-0.02,-0.15,-0.03,-0.07,-0.04,-0.06,-0.06,-0.18,-0.11,0.14,0.16,0.15
OPM %,,,,,,,,,,,42.42%,11.76%,4.52%
Other Income,0.35,0.06,0.25,0.03,0.02,0.00,0.16,0.21,0.46,0.16,0.10,0.07,0.40
  └─ Other income normal,0.35,0.06,0.25,0.03,0.02,0.00,0.16,0.21,0.46,0.16,0.10,0.07,0.40
Interest,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.18
Depreciation,0.18,0.00,0.18,0.00,0.18,0.00,0.18,0.00,0.00,0.00,0.00,0.00,0.06
Profit before tax,-0.42,0.04,-0.08,0.00,-0.23,-0.04,-0.08,0.15,0.28,0.05,0.24,0.21,0.31
Tax %,21.43%,0.00%,0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Net Profit,-0.51,0.04,-0.08,0.00,-0.24,-0.04,-0.08,0.15,0.28,0.05,0.24,0.21,0.30
  └─ Profit excl Excep,-0.51,0.04,-0.08,0.00,-0.24,-0.04,-0.08,0.15,0.28,0.05,0.24,0.21,0.30
  └─ Profit for PE,-0.51,0.04,-0.08,0.00,-0.24,-0.04,-0.08,0.15,0.28,0.05,0.24,0.21,0.30
  └─ Profit for EPS,-0.51,0.04,-0.08,0.00,-0.24,-0.04,-0.08,0.15,0.28,0.05,0.24,0.21,0.30
EPS in Rs,-0.72,0.06,-0.11,0.00,-0.34,-0.06,-0.11,0.21,0.39,0.07,0.34,0.30,0.25
Raw PDF,,,,,,,,,,,,,
