Metric,Dec 2024,Mar 2025,Sep 2025,Dec 2025,Mar 2026
Sales,93.35,113.09,96.90,96.95,93.08
  └─ YOY Sales Growth %,,,,3.86%,-17.69%
Expenses,88.47,105.46,98.39,96.63,95.59
  └─ Material Cost %,56%,59%,60%,58%,64%
  └─ Employee Cost %,15%,13%,13%,13%,13%
Operating Profit,4.88,7.63,-1.49,0.32,-2.51
OPM %,5.23%,6.75%,-1.54%,0.33%,-2.70%
Other Income,0.99,1.01,0.68,0.81,0.74
  └─ Other income normal,0.99,1.01,0.68,0.81,0.74
Interest,0.41,0.50,0.22,0.24,0.69
Depreciation,2.20,2.16,2.17,2.11,2.06
Profit before tax,3.26,5.98,-3.20,-1.22,-4.52
Tax %,26.69%,26.09%,-20.94%,22.13%,-15.27%
Net Profit,2.39,4.42,-2.53,-1.49,-3.83
  └─ Profit excl Excep,2,4,-3,-1,-4
  └─ Profit for PE,2,4,-3,-1,-4
  └─ Profit for EPS,2,4,-3,-1,-4
  └─ YOY Profit Growth %,,,,-162%,-187%
EPS in Rs,0.24,0.44,-0.25,-0.17,-0.44
Raw PDF,,,,,
