Metric,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,4.38,6.97,8.28,10.07,14.31,0.71,0.00,0.18,0.10,0.09,0.13
  └─ YOY Sales Growth %,,,,,226.71%,-89.81%,-100.00%,-98.21%,-99.30%,-87.32%,
Expenses,3.86,6.11,7.37,8.79,13.03,0.57,0.31,0.33,0.12,0.07,0.07
  └─ Material Cost %,83.79%,82.21%,84.30%,84.31%,87.70%,49.30%,,5.56%,10.00%,11.11%,7.69%
  └─ Employee Cost %,1.60%,2.01%,1.45%,1.09%,1.68%,9.86%,,50.00%,70.00%,33.33%,23.08%
Operating Profit,0.52,0.86,0.91,1.28,1.28,0.14,-0.31,-0.15,-0.02,0.02,0.06
OPM %,11.87%,12.34%,10.99%,12.71%,8.94%,19.72%,,-83.33%,-20.00%,22.22%,46.15%
Other Income,0.00,0.00,0.00,0.00,0.00,0.00,0.43,0.43,0.19,0.01,0.00
  └─ Other income normal,0.00,0.00,0.00,0.00,0.00,0.00,0.43,0.43,0.19,0.01,0.00
Interest,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Depreciation,0.03,0.10,0.10,0.10,0.27,0.10,0.03,0.16,0.15,0.15,0.14
Profit before tax,0.49,0.76,0.81,1.18,1.01,0.04,0.09,0.12,0.02,-0.12,-0.08
Tax %,22.45%,23.68%,25.93%,24.58%,25.74%,0.00%,22.22%,0.00%,-50.00%,-33.33%,-37.50%
Net Profit,0.38,0.57,0.60,0.90,0.75,0.04,0.07,0.12,0.03,-0.07,-0.06
  └─ Minority share,0,0,0,0,-0,0,0,-0,0,0,0
  └─ Profit excl Excep,0,1,1,1,1,0,0,0,0,-0,-0
  └─ Profit for PE,0,1,1,1,1,0,0,0,0,-0,-0
  └─ Profit for EPS,0,1,1,1,1,0,0,0,0,-0,-0
  └─ YOY Profit Growth %,,,,,95%,-93%,-88%,-88%,-96%,-275%,-186%
EPS in Rs,0.22,0.34,0.35,0.53,0.17,0.01,0.02,0.03,0.01,-0.02,-0.01
Raw PDF,,,,,,,,,,,
