Metric,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025
Sales,26.64,14.96,14.13,24.25,105.59,65.45,17.48,-1.08,4.98,11.07,3.57,0.86,0.29
  └─ YOY Sales Growth %,37957%,37300%,-23%,0%,296%,338%,24%,-104%,-95%,-83%,-80%,180%,-94%
Expenses,24.15,15.46,16.33,14.96,99.99,62.95,15.89,5.39,6.77,8.81,5.02,5.45,5.75
  └─ Material Cost %,82%,79%,86%,50%,94%,78%,63%,,6%,2%,0%,5%,297%
  └─ Employee Cost %,6%,14%,17%,7%,0%,1%,1%,,8%,5%,11%,53%,124%
Operating Profit,2.49,-0.50,-2.20,9.29,5.60,2.50,1.59,-6.47,-1.79,2.26,-1.45,-4.59,-5.46
OPM %,9.35%,-3.34%,-15.57%,38.31%,5.30%,3.82%,9.10%,,-35.94%,20.42%,-40.62%,-533.72%,-1882.76%
Other Income,0.00,4.26,2.40,0.80,1.57,1.17,1.20,1.16,1.00,1.08,1.09,1.12,1.14
  └─ Exceptional items,0.00,0.00,1.24,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other income normal,0.00,4.26,1.16,0.00,1.57,1.17,1.20,1.16,1.00,1.08,1.09,1.12,1.14
Interest,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.02,0.02,0.02,0.02,0.02
Depreciation,0.09,0.06,0.08,0.04,0.22,0.09,0.09,0.09,0.10,0.09,0.09,0.09,0.09
Profit before tax,2.40,3.70,0.12,10.05,6.95,3.48,2.70,-5.40,-0.91,3.23,-0.47,-3.58,-4.43
Tax %,10.42%,48.11%,0.00%,-0.70%,18.13%,16.95%,26.67%,-26.67%,0.00%,25.70%,0.00%,0.00%,0.00%
Net Profit,2.15,1.91,0.12,10.11,5.68,2.89,1.97,-3.97,-0.91,2.39,-0.47,-3.58,-4.44
  └─ Minority share,0,0,0,0,0,0,0,0,0,0,0,0,0
  └─ Exceptional items AT,0,0,1,1,0,0,0,0,0,0,0,0,0
  └─ Profit excl Excep,2,2,-1,9,6,3,2,-4,-1,2,-0,-4,-4
  └─ Profit for PE,2,2,-1,9,6,3,2,-4,-1,2,-0,-4,-4
  └─ Profit for EPS,2,2,0,10,6,3,2,-4,-1,2,-0,-4,-4
  └─ YOY Profit Growth %,4200%,3283%,-609%,682%,164%,51%,277%,-142%,-116%,-17%,-123%,8%,-388%
EPS in Rs,0.05,0.05,0.00,0.24,0.13,0.07,0.05,-0.09,-0.02,0.06,-0.01,-0.09,-0.11
Raw PDF,,,,,,,,,,,,,
