Metric,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
Sales,0.00,0.00,0.00,0.00,0.00,0.00,0.32,2.45,1.09,1.27,2.36,1.39,0.03
  └─ YOY Sales Growth %,,,,,,,,,,,638%,-43%,-97%
Expenses,0.16,0.19,0.17,0.32,0.18,0.30,0.43,4.72,0.97,1.31,2.44,1.02,0.74
  └─ Material Cost %,,,,,,,0%,121%,5%,41%,39%,22%,67%
  └─ Employee Cost %,,,,,,,16%,5%,28%,11%,2%,3%,67%
Operating Profit,-0.16,-0.19,-0.17,-0.32,-0.18,-0.30,-0.11,-2.27,0.12,-0.04,-0.08,0.37,-0.71
OPM %,,,,,,,-34.38%,-92.65%,11.01%,-3.15%,-3.39%,26.62%,-2366.67%
Other Income,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,-22.76,0.21,0.34
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-22.84,0.00,0.00
  └─ Other income normal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.08,0.21,0.34
Interest,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.03,0.00,1.45
Depreciation,5.11,5.11,5.11,5.11,5.11,5.11,5.11,3.42,0.04,0.04,0.04,0.04,0.04
Profit before tax,-5.27,-5.30,-5.28,-5.43,-5.29,-5.41,-5.22,-5.19,0.05,-0.09,-22.91,0.54,-1.86
Tax %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,4.82%,0.00%,0.00%,-0.04%,0.00%,0.00%
Net Profit,-5.26,-5.30,-5.28,-5.43,-5.29,-5.41,-5.22,-5.35,0.05,-0.09,-22.79,0.44,-1.86
  └─ Profit from Associates,0,0,0,0,0,0,0,0,0,0,0,-0,0
  └─ Exceptional items AT,0,0,0,0,0,0,0,0,0,0,-23,0,0
  └─ Profit excl Excep,-5,-5,-5,-5,-5,-5,-5,-5,0,-0,0,0,-2
  └─ Profit for PE,-5,-5,-5,-5,-5,-5,-5,-5,0,-0,0,0,-2
  └─ Profit for EPS,-5,-5,-5,-5,-5,-5,-5,-5,0,-0,-23,0,-2
  └─ YOY Profit Growth %,1%,1%,1%,-2%,-1%,-2%,1%,1%,101%,98%,101%,108%,-3820%
EPS in Rs,-0.15,-0.15,-0.15,-0.16,-0.15,-0.15,-0.15,-0.21,0.00,-0.00,-0.90,0.02,-0.07
Raw PDF,,,,,,,,,,,,,
