Metric,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,123.92,67.35,93.76,101.43,143.18
  └─ YOY Sales Growth %,,,,,15.54%
Expenses,109.62,55.83,80.80,87.30,128.02
  └─ Material Cost %,85%,77%,81%,80%,85%
  └─ Employee Cost %,1%,3%,3%,3%,2%
Operating Profit,14.30,11.52,12.96,14.13,15.16
OPM %,11.54%,17.10%,13.82%,13.93%,10.59%
Other Income,0.91,0.35,1.02,0.66,1.31
  └─ Other income normal,0.91,0.35,1.02,0.66,1.31
Interest,4.09,4.29,4.65,4.88,6.63
Depreciation,1.12,0.77,0.81,1.93,1.85
Profit before tax,10.00,6.81,8.52,7.98,7.99
Tax %,37.30%,25.84%,29.93%,18.30%,28.04%
Net Profit,6.26,5.05,5.98,6.52,5.76
  └─ Profit excl Excep,6.26,5.05,5.98,6.52,5.76
  └─ Profit for PE,6.26,5.05,5.98,6.52,5.76
  └─ Profit for EPS,6.26,5.05,5.98,6.52,5.76
  └─ YOY Profit Growth %,,,,,-7.99%
EPS in Rs,1.46,0.85,1.00,1.09,0.96
Raw PDF,,,,,
