Metric,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Revenue,44,70,21,45,50
  └─ YOY Sales Growth %,,,,,13.99%
Interest,10,0,0,11,3
Expenses,98,4,4,31,68
  └─ Employee Cost %,16.21%,1.99%,6.43%,24.20%,39.33%
Financing Profit,-64,66,17,3,-21
Financing Margin %,-146%,95%,82%,7%,-41%
Other Income,1,0,0,7,4
  └─ Other income normal,0.57,0.00,0.00,6.87,3.60
Depreciation,4,0,0,5,5
Profit before tax,-67,66,17,5,-22
Tax %,-30%,24%,25%,176%,65%
Net Profit,-47,50,12,-4,-36
  └─ Minority share,0.03,0.19,0.17,0.21,0.41
  └─ Profit excl Excep,-46.75,50.21,12.49,-3.99,-35.50
  └─ Profit for PE,-46.72,50.40,12.66,-3.78,-35.09
  └─ Profit for EPS,-46.72,50.40,12.66,-3.78,-35.09
  └─ YOY Profit Growth %,,,,,24.89%
EPS in Rs,-14.11,13.20,3.31,-0.85,-7.85
Gross NPA %,,,,,
Net NPA %,,,,,
Raw PDF,,,,,
