Metric,Mar 2019,Sep 2019,Mar 2020,Sep 2020
  └─ Material Cost %,59%,57%,59%,59%
  └─ Employee Cost %,8%,12%,10%,5%
  └─ Exceptional items,0.00,0.00,0.00,-0.01
  └─ Other income normal,0.45,0.98,-0.26,0.36
  └─ Profit from Associates,0.00,0.53,0.00,0.00
  └─ Exceptional items AT,0.00,0.00,0.00,-0.01
  └─ Profit excl Excep,3.53,-0.88,-2.66,-1.94
  └─ Profit for PE,3.53,-0.88,-2.66,-1.94
  └─ Profit for EPS,3.53,-0.88,-2.66,-1.95
