Metric,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,1736,1669,1728,1894,2096,2308,2516
  └─ YOY Sales Growth %,,,,,20.77%,38.28%,45.62%
Expenses,1449,1459,1436,1558,1683,1845,1979
  └─ Material Cost %,31.48%,32.81%,32.44%,31.88%,31.02%,31.07%,30.39%
  └─ Employee Cost %,18.73%,19.48%,25.17%,24.58%,23.97%,22.87%,21.77%
Operating Profit,286,210,292,336,413,462,536
OPM %,16%,13%,17%,18%,20%,20%,21%
Other Income,70,32,212,42,33,35,49
  └─ Exceptional items,0.00,0.00,0.00,-10.39,0.00,-5.32,0.00
  └─ Other income normal,69.64,32.11,211.69,52.23,33.26,40.36,49.03
Interest,26,34,48,41,45,49,44
Depreciation,196,199,215,237,253,270,288
Profit before tax,134,8,241,100,148,178,254
Tax %,36%,77%,9%,39%,30%,26%,20%
Net Profit,86,2,220,61,103,133,204
  └─ Minority share,-1,0,-1,-1,-1,-2,-3
  └─ Exceptional items AT,0,0,0,-5,0,-3,0
  └─ Profit excl Excep,86,2,220,66,103,136,204
  └─ Profit for PE,85,2,219,65,102,134,200
  └─ Profit for EPS,85,2,219,60,102,131,200
  └─ YOY Profit Growth %,,,,,20%,7141%,-8%
EPS in Rs,11.08,0.02,2.84,0.78,1.24,0.76,1.15
Raw PDF,,,,,,,
