Metric,Sep 2025,Mar 2026
Sales,71,95
Expenses,61,81
  └─ Material Cost %,54%,51%
  └─ Employee Cost %,15%,16%
Operating Profit,10,14
OPM %,15%,15%
Other Income,2,4
  └─ Other income normal,2.49,3.73
Interest,1,1
Depreciation,1,3
Profit before tax,10,14
Tax %,28%,16%
Net Profit,8,12
  └─ Minority share,0.00,-1.29
  └─ Profit excl Excep,7.53,11.54
  └─ Profit for PE,7.53,10.25
  └─ Profit for EPS,7.53,10.25
EPS in Rs,3.45,4.70
Raw PDF,,
