Metric,Sep 2023,Mar 2024,Sep 2024,Mar 2025,Sep 2025,Mar 2026,Dec 2023,Jun 2024,Dec 2024,Jun 2025
Sales,81,75,164,275,302,405,,,,
  └─ YOY Sales Growth %,,,,,,,,,224%,87%
Expenses,77,70,145,238,260,354,,,,
  └─ Material Cost %,86%,84%,82%,79%,75%,72%,,,,
  └─ Employee Cost %,3%,4%,3%,3%,3%,2%,,,,
Operating Profit,4,5,19,38,43,52,,,,
OPM %,5%,6%,12%,14%,14%,13%,,,,
Other Income,0,3,0,2,0,0,,,,
  └─ Exceptional items,0.00,3.08,0.00,0.00,0.00,0.00,,,,
  └─ Other income normal,0.12,0.32,0.48,1.78,0.46,0.32,,,,
Interest,0,0,0,1,2,3,,,,
Depreciation,1,1,2,2,4,6,,,,
Profit before tax,3,7,17,36,38,43,,,,
Tax %,22%,15%,25%,25%,25%,32%,,,,
Net Profit,3,6,13,27,29,29,,,,
  └─ Exceptional items AT,0.00,3.08,0.00,0.00,0.00,0.00,,,,
  └─ Profit excl Excep,2.61,3.07,13.08,27.01,28.60,29.26,,,,
  └─ Profit for PE,2.61,3.07,13.08,27.01,28.60,29.26,,,,
  └─ Profit for EPS,2.61,6.15,13.08,27.01,28.60,29.26,,,,
EPS in Rs,1.80,3.12,6.63,13.68,14.19,14.51,,,,
Raw PDF,,,,,,,,,,
