Metric,Mar 2025,Mar 2026
Sales,114.21,41.34
  └─ YOY Sales Growth %,,-64%
Expenses,113.66,42.20
  └─ Material Cost %,98%,96%
  └─ Employee Cost %,1%,3%
Operating Profit,0.55,-0.86
OPM %,0.48%,-2.08%
Other Income,-1.22,1.64
  └─ Exceptional items,-2.78,0.58
  └─ Other income normal,1.56,1.06
Interest,0.02,-0.04
Depreciation,0.46,0.44
Profit before tax,-1.15,0.38
Tax %,-39.13%,118.42%
Net Profit,-0.69,-0.07
  └─ Exceptional items AT,-3,-0
  └─ Profit excl Excep,2,-0
  └─ Profit for PE,2,-0
  └─ Profit for EPS,-1,-0
  └─ YOY Profit Growth %,,-102%
EPS in Rs,-0.44,-0.05
Raw PDF,,
