Metric,Mar 2023,Sep 2023,Mar 2024,Sep 2024,Mar 2025,Sep 2025,Mar 2026
Sales,14.32,13.34,12.85,14.18,12.73,11.69,13.39
Expenses,16.41,13.60,15.07,16.98,14.77,13.06,15.34
  └─ Material Cost %,37.29%,16.64%,27.63%,36.81%,27.97%,34.39%,22.26%
  └─ Employee Cost %,16.97%,19.57%,21.63%,16.93%,16.89%,16.34%,13.29%
Operating Profit,-2.09,-0.26,-2.22,-2.80,-2.04,-1.37,-1.95
OPM %,-14.59%,-1.95%,-17.28%,-19.75%,-16.03%,-11.72%,-14.56%
Other Income,1.91,1.07,0.15,0.68,0.15,0.22,1.12
  └─ Exceptional items,0.00,0.51,0.00,0.00,0.00,0.00,-0.18
  └─ Other income normal,1.91,0.56,0.15,0.68,0.15,0.22,1.30
Interest,0.06,0.10,0.08,0.04,0.02,0.00,0.00
Depreciation,0.08,0.07,0.07,0.05,0.05,0.03,0.03
Profit before tax,-0.32,0.64,-2.22,-2.21,-1.96,-1.18,-0.86
Tax %,0.00%,0.00%,0.00%,0.45%,-0.51%,0.00%,0.00%
Net Profit,-0.32,0.64,-2.22,-2.22,-1.95,-1.18,-0.85
  └─ Profit from Associates,0.00,0.00,0.00,0.00,0.00,0.00,0.01
  └─ Exceptional items AT,0.00,0.51,0.00,0.00,0.00,0.00,-0.18
  └─ Profit excl Excep,-0.32,0.13,-2.22,-2.22,-1.95,-1.18,-0.67
  └─ Profit for PE,-0.32,0.13,-2.22,-2.22,-1.95,-1.18,-0.67
  └─ Profit for EPS,-0.32,0.64,-2.22,-2.22,-1.95,-1.18,-0.85
EPS in Rs,-2.58,0.41,-1.03,-1.03,-0.91,-0.55,-0.40
Raw PDF,,,,,,,
