Metric,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,806,864,815,917,947,1027,1017,1073,1098,1180,1179,1210
  └─ YOY Sales Growth %,,,,,17.47%,18.81%,24.67%,17.03%,16.04%,14.92%,15.94%,12.71%
Expenses,737,791,745,836,856,928,925,964,993,1067,1072,1097
  └─ Material Cost %,75%,75%,75%,75%,74%,74%,74%,74%,73%,74%,74%,75%
  └─ Employee Cost %,6%,6%,6%,6%,6%,6%,6%,6%,7%,6%,6%,6%
Operating Profit,69,74,70,80,91,99,91,109,105,113,107,113
OPM %,9%,9%,9%,9%,10%,10%,9%,10%,10%,10%,9%,9%
Other Income,5,5,4,6,6,5,9,5,4,6,-6,9
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-13.32,-0.45
  └─ Other income normal,4.64,4.59,3.85,5.89,6.31,4.82,9.46,5.37,3.99,6.07,7.04,9.20
Interest,2,2,2,2,2,2,3,3,3,3,3,5
Depreciation,14,14,14,18,19,19,19,24,25,25,25,25
Profit before tax,57,62,58,66,76,82,79,87,81,91,72,92
Tax %,27%,25%,29%,26%,24%,23%,23%,26%,24%,24%,24%,28%
Net Profit,42,46,41,49,58,63,60,64,62,69,55,66
  └─ Exceptional items AT,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-10,-0
  └─ Profit excl Excep,42,46,41,49,58,63,60,64,62,69,65,67
  └─ Profit for PE,42,46,41,49,58,63,60,64,62,69,65,67
  └─ Profit for EPS,42,46,41,49,58,63,60,64,62,69,55,66
  └─ YOY Profit Growth %,,,,,37%,36%,46%,31%,8%,10%,8%,4%
EPS in Rs,2.93,3.23,2.87,3.41,4.01,4.38,4.18,4.48,4.31,4.81,3.81,4.63
Raw PDF,,,,,,,,,,,,
