Metric,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025
Sales,0.08,-1.26,3.04,1.94,19.68,3.26,2.87,0.49,1.04,0.25,0.00,0.89,0.00
  └─ YOY Sales Growth %,-92%,-218%,16%,2325%,24500%,359%,-6%,-75%,-95%,-92%,-100%,82%,-100%
Expenses,8.96,2.46,3.49,0.74,14.04,1.87,1.51,4.35,6.46,6.95,0.68,9.04,6.18
  └─ Material Cost %,-37.50%,,0.00%,0.00%,0.05%,0.31%,0.00%,0.00%,0.00%,0.00%,,0.00%,
  └─ Employee Cost %,7400.00%,,10.53%,10.31%,2.39%,22.09%,25.09%,720.41%,40.38%,168.00%,,88.76%,
Operating Profit,-8.88,-3.72,-0.45,1.20,5.64,1.39,1.36,-3.86,-5.42,-6.70,-0.68,-8.15,-6.18
OPM %,-11100.00%,,-14.80%,61.86%,28.66%,42.64%,47.39%,-787.76%,-521.15%,-2680.00%,,-915.73%,
Other Income,0.01,-0.11,0.00,0.00,0.00,0.79,2.29,0.00,0.78,-36.32,0.00,0.00,0.00
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-36.32,0.00,0.00,0.00
  └─ Other income normal,0.01,-0.11,0.00,0.00,0.00,0.79,2.29,0.00,0.78,0.00,0.00,0.00,0.00
Interest,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Depreciation,0.01,0.02,0.00,0.00,0.00,0.05,0.01,0.01,0.00,0.03,0.00,0.00,0.00
Profit before tax,-8.88,-3.85,-0.45,1.20,5.64,2.13,3.64,-3.87,-4.64,-43.05,-0.68,-8.15,-6.18
Tax %,0.00%,-2.34%,6.67%,0.00%,0.00%,2.82%,0.00%,0.00%,0.00%,0.05%,0.00%,0.00%,0.00%
Net Profit,-8.88,-3.76,-0.47,1.20,5.64,2.08,3.63,-3.87,-4.64,-43.08,-0.68,-8.15,-6.18
  └─ Minority share,0.00,0.00,0.02,0.10,-2.02,-1.69,-1.75,0.06,0.05,21.11,0.26,3.95,3.02
  └─ Exceptional items AT,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-36.30,0.00,0.00,0.00
  └─ Profit excl Excep,-8.88,-3.76,-0.47,1.20,5.64,2.08,3.63,-3.87,-4.64,-6.78,-0.68,-8.15,-6.18
  └─ Profit for PE,-8.88,-3.76,-0.45,1.30,3.62,0.39,1.88,-3.81,-4.59,-3.46,-0.42,-4.20,-3.16
  └─ Profit for EPS,-8.88,-3.76,-0.45,1.30,3.62,0.39,1.88,-3.81,-4.59,-21.97,-0.42,-4.20,-3.16
  └─ YOY Profit Growth %,-5033.33%,-547.62%,-400.00%,114.64%,140.77%,110.37%,517.78%,-393.08%,-226.80%,-986.58%,-122.34%,-10.24%,31.15%
EPS in Rs,-0.21,-0.09,-0.01,0.02,0.06,0.01,0.03,-0.07,-0.08,-0.38,-0.01,-0.07,-0.05
Raw PDF,,,,,,,,,,,,,
