Metric,Mar 2024,Sep 2024,Mar 2025,Sep 2025,Mar 2026
Sales,36.38,49.55,36.03,32.94,32.94
Expenses,32.04,44.67,32.08,29.93,29.93
  └─ Employee Cost %,1.87%,1.70%,2.72%,3.43%,3.43%
Operating Profit,4.34,4.88,3.95,3.01,3.01
OPM %,11.93%,9.85%,10.96%,9.14%,9.14%
Other Income,0.15,0.23,0.70,0.66,0.66
  └─ Other income normal,0.15,0.23,0.70,0.66,0.66
Interest,0.05,0.09,0.17,0.11,0.11
Depreciation,0.08,0.09,0.23,0.20,0.20
Profit before tax,4.36,4.93,4.25,3.36,3.36
Tax %,25.46%,25.56%,26.59%,26.19%,26.19%
Net Profit,3.24,3.67,3.11,2.49,2.49
  └─ Profit excl Excep,3.24,3.67,3.11,2.49,2.49
  └─ Profit for PE,3.24,3.67,3.11,2.49,2.49
  └─ Profit for EPS,3.24,3.67,3.11,2.49,2.49
EPS in Rs,3.93,3.25,2.75,2.20,2.20
Raw PDF,,,,,
