Metric,Dec 2019,Mar 2020,Jun 2020,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,11,17,2,0,0,0,1,1,5,0,40,6,236
  └─ YOY Sales Growth %,-78%,-51%,-93%,,,,,,,,4022%,406%,4712%
Expenses,62,151,20,6,12,28,35,38,14,32,47,26,487
  └─ Material Cost %,-36%,8%,-240%,,,,91%,148%,-5%,3395%,46%,1%,185%
  └─ Employee Cost %,46%,22%,105%,,,,626%,498%,126%,1707%,23%,165%,4%
Operating Profit,-50,-133,-18,-6,-12,-28,-34,-37,-9,-32,-8,-20,-250
OPM %,-444%,-773%,-912%,,,,-3550%,-3159%,-192%,-7529%,-19%,-341%,-106%
Other Income,1,-44,-161,0,0,2,1,1,5,18,5,5,131
  └─ Exceptional items,0,-66,-162,0,0,0,0,0,-2,0,0,0,0
  └─ Other income normal,1,22,0,0,0,2,1,1,7,18,5,5,131
Interest,357,394,389,5,10,10,6,2,2,2,2,3,5
Depreciation,19,18,18,17,17,15,15,15,16,15,15,16,18
Profit before tax,-426,-589,-586,-27,-39,-51,-53,-53,-23,-31,-20,-33,-142
Tax %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Net Profit,-426,-589,-586,-27,-39,-51,-53,-53,-23,-31,-20,-33,-142
  └─ Profit from Associates,-0,0,0,0,0,0,0,0,0,0,0,0,-0
  └─ Exceptional items AT,0,-66,-162,0,0,0,0,0,-2,0,0,0,0
  └─ Profit excl Excep,-426,-523,-424,-27,-39,-51,-53,-53,-21,-31,-20,-33,-142
  └─ Profit for PE,-426,-523,-424,-27,-39,-51,-53,-53,-21,-31,-20,-33,-142
  └─ Profit for EPS,-426,-589,-586,-27,-39,-51,-53,-53,-23,-31,-20,-33,-142
  └─ YOY Profit Growth %,-9%,55%,-14%,,,,,-94%,47%,40%,63%,38%,-588%
EPS in Rs,-5.77,-7.98,-7.94,-5.21,-7.37,-9.77,-10.13,-10.13,-4.34,-5.84,-3.77,-6.28,-27.00
Raw PDF,,,,,,,,,,,,,
