Metric,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024
Sales,30.94,18.35,23.12,15.62,43.69,27.49,30.04,15.21,26.76
  └─ YOY Sales Growth %,,,,,41.21%,49.81%,29.93%,-2.62%,-38.75%
Expenses,30.14,18.31,22.50,15.12,41.04,26.18,29.60,13.83,25.99
  └─ Material Cost %,95%,97%,95%,92%,92%,92%,95%,85%,93%
  └─ Employee Cost %,1%,1%,1%,2%,1%,1%,2%,3%,2%
Operating Profit,0.80,0.04,0.62,0.50,2.65,1.31,0.44,1.38,0.77
OPM %,2.59%,0.22%,2.68%,3.20%,6.07%,4.77%,1.46%,9.07%,2.88%
Other Income,0.61,0.16,0.69,0.48,0.44,0.24,0.36,0.32,0.37
  └─ Other income normal,0.61,0.16,0.69,0.48,0.44,0.24,0.36,0.32,0.37
Interest,0.29,0.29,0.37,0.61,0.51,0.63,0.67,0.66,0.64
Depreciation,0.08,0.07,0.16,0.11,0.13,0.11,0.11,0.11,0.11
Profit before tax,1.04,-0.16,0.78,0.26,2.45,0.81,0.02,0.93,0.39
Tax %,23.08%,-6.25%,23.08%,26.92%,26.12%,25.93%,100.00%,24.73%,35.90%
Net Profit,0.81,-0.15,0.60,0.20,1.82,0.60,0.00,0.69,0.25
  └─ Profit excl Excep,1,-0,1,0,2,1,0,1,0
  └─ Profit for PE,1,-0,1,0,2,1,0,1,0
  └─ Profit for EPS,1,-0,1,0,2,1,0,1,0
  └─ YOY Profit Growth %,,,,,125%,500%,-100%,245%,-86%
EPS in Rs,0.78,-0.14,0.58,0.19,1.75,0.58,0.00,0.66,0.22
Raw PDF,,,,,,,,,
