Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,1456,1284,1229,1245,1497,1508,1354,1237,1223,1201,1242,1454,1511
  └─ YOY Sales Growth %,58.92%,-6.03%,-15.09%,-12.38%,2.84%,17.49%,10.20%,-0.66%,-18.32%,-20.34%,-8.32%,17.59%,23.58%
Expenses,609,492,586,595,561,597,701,626,721,559,514,619,570
  └─ Employee Cost %,14.09%,16.70%,18.18%,17.40%,15.48%,15.97%,17.69%,19.07%,18.65%,18.38%,17.31%,16.94%,16.54%
Operating Profit,847,792,643,650,937,911,654,611,502,643,728,836,941
OPM %,58%,62%,52%,52%,63%,60%,48%,49%,41%,54%,59%,57%,62%
Other Income,95,51,232,151,229,195,225,264,150,135,140,282,346
  └─ Exceptional items,0,0,141,32,66,68,129,266,0,0,0,0,0
  └─ Other income normal,95,51,91,119,163,127,97,-2,150,135,140,282,346
Interest,77,62,77,67,59,61,64,61,51,45,44,25,23
Depreciation,167,180,187,194,166,197,206,205,205,197,224,246,222
Profit before tax,698,601,612,540,942,848,610,608,396,536,601,847,1043
Tax %,-4%,4%,3%,0%,4%,4%,6%,2%,8%,6%,3%,4%,-0%
Net Profit,722,576,595,538,905,812,576,594,363,504,581,813,1044
  └─ Exceptional items AT,0,0,137,32,64,65,121,258,0,0,0,0,0
  └─ Profit excl Excep,722,576,457,506,841,747,454,335,363,504,581,813,1044
  └─ Profit for PE,722,576,457,506,841,747,454,335,363,504,581,813,1044
  └─ Profit for EPS,722,576,595,538,905,812,576,594,363,504,581,813,1044
  └─ YOY Profit Growth %,293%,14%,-30%,-19%,17%,30%,-1%,-34%,-57%,-32%,28%,142%,188%
EPS in Rs,50.57,40.36,41.65,37.70,63.40,56.87,40.32,41.58,25.43,35.34,40.72,56.91,73.13
Raw PDF,,,,,,,,,,,,,
