Metric,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,401.57,425.85,456.71,401.64,422.71,431.43,443.00,428.58,415.82,439.62,478.09,495.72
  └─ YOY Sales Growth %,,,,,5.26%,1.31%,-3.00%,6.71%,-1.63%,1.90%,7.92%,15.67%
Expenses,370.26,392.29,419.36,357.81,387.25,395.29,419.61,403.63,395.02,420.79,454.17,474.29
  └─ Employee Cost %,2.69%,2.66%,2.94%,2.83%,2.87%,2.57%,3.11%,3.29%,3.53%,3.53%,3.27%,3.13%
Operating Profit,31.31,33.56,37.35,43.83,35.46,36.14,23.39,24.95,20.80,18.83,23.92,21.43
OPM %,7.80%,7.88%,8.18%,10.91%,8.39%,8.38%,5.28%,5.82%,5.00%,4.28%,5.00%,4.32%
Other Income,1.27,1.13,1.86,1.51,1.38,1.88,5.11,4.85,4.17,4.36,2.76,3.26
  └─ Other income normal,1.27,1.13,1.86,1.51,1.38,1.88,5.11,4.85,4.17,4.36,2.76,3.26
Interest,4.46,4.76,6.21,6.75,6.08,6.72,4.51,4.21,4.53,4.53,4.14,5.25
Depreciation,4.80,5.03,5.59,5.82,5.23,5.77,6.18,6.62,5.74,6.50,7.89,8.19
Profit before tax,23.32,24.90,27.41,32.77,25.53,25.53,17.81,18.97,14.70,12.16,14.65,11.25
Tax %,25.17%,26.55%,25.61%,26.15%,25.97%,25.77%,25.88%,25.78%,26.60%,26.48%,26.08%,26.58%
Net Profit,17.46,18.30,20.39,24.20,18.90,18.96,13.20,14.08,10.79,8.95,10.83,8.26
  └─ Profit excl Excep,17.46,18.30,20.39,24.20,18.90,18.96,13.20,14.08,10.79,8.95,10.83,8.26
  └─ Profit for PE,17.46,18.30,20.39,24.20,18.90,18.96,13.20,14.08,10.79,8.95,10.83,8.26
  └─ Profit for EPS,17.46,18.30,20.39,24.20,18.90,18.96,13.20,14.08,10.79,8.95,10.83,8.26
  └─ YOY Profit Growth %,,,,,8.25%,3.61%,-35.26%,-41.82%,-42.91%,-52.80%,-17.95%,-41.34%
EPS in Rs,2.22,2.33,2.59,3.07,2.40,1.86,1.29,1.38,1.06,0.88,1.06,0.81
Raw PDF,,,,,,,,,,,,
