Metric,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,60.03,58.01,56.38,44.90,51.10,75.74,87.93,87.22,125.91,129.93,142.07
  └─ YOY Sales Growth %,,,,,-15%,31%,56%,94%,146%,72%,62%
Expenses,48.35,50.85,49.77,45.97,45.23,61.34,72.42,76.24,110.14,112.70,125.95
  └─ Material Cost %,50%,57%,53%,59%,50%,52%,55%,59%,63%,62%,64%
  └─ Employee Cost %,19%,20%,23%,29%,29%,20%,18%,19%,16%,17%,16%
Operating Profit,11.68,7.16,6.61,-1.07,5.87,14.40,15.51,10.98,15.77,17.23,16.12
OPM %,19.46%,12.34%,11.72%,-2.38%,11.49%,19.01%,17.64%,12.59%,12.52%,13.26%,11.35%
Other Income,0.79,0.73,0.91,1.00,0.27,0.35,1.07,1.27,0.02,-0.10,4.79
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.02,0.00
  └─ Other income normal,0.79,0.73,0.91,1.00,0.27,0.35,1.07,1.27,0.02,0.92,4.79
Interest,3.07,2.95,3.12,3.19,3.68,4.65,4.56,4.77,4.99,6.29,7.68
Depreciation,2.21,2.22,2.18,2.25,2.54,2.69,3.01,3.15,3.43,3.51,3.66
Profit before tax,7.19,2.72,2.22,-5.51,-0.08,7.41,9.01,4.33,7.37,7.33,9.57
Tax %,-0.00%,27.21%,33.33%,-27.22%,12.50%,29.82%,23.97%,24.02%,23.07%,26.19%,21.42%
Net Profit,7.19,1.97,1.48,-4.00,-0.10,5.20,6.85,3.30,5.67,5.41,7.52
  └─ Exceptional items AT,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.74,0.00
  └─ Profit excl Excep,7.19,1.97,1.48,-4.00,-0.10,5.20,6.85,3.30,5.67,6.15,7.52
  └─ Profit for PE,7.19,1.97,1.48,-4.00,-0.10,5.20,6.85,3.30,5.67,6.15,7.52
  └─ Profit for EPS,7.19,1.97,1.48,-4.00,-0.10,5.20,6.85,3.30,5.67,5.41,7.52
  └─ YOY Profit Growth %,,,,,-101.39%,163.96%,362.84%,182.50%,5770.00%,18.27%,9.78%
EPS in Rs,1438.00,394.00,296.00,-800.00,-0.03,1.38,1.82,0.88,1.50,1.44,1.99
Raw PDF,,,,,,,,,,,
