Metric,Mar 2005,Jun 2005,Sep 2005,Dec 2005,Mar 2006,Jun 2006,Sep 2006,Dec 2006,Mar 2007,Jun 2007
Sales,239.47,219.34,217.39,219.88,272.16,296.63,242.76,197.40,254.59,249.18
  └─ YOY Sales Growth %,,,,,13.65%,35.24%,11.67%,-10.22%,-6.46%,-16.00%
Expenses,194.89,189.19,183.94,173.05,211.28,224.99,202.50,161.04,213.81,242.00
  └─ Material Cost %,55.73%,52.81%,55.17%,48.98%,50.80%,45.12%,50.21%,39.47%,50.68%,45.36%
  └─ Employee Cost %,3.78%,2.37%,3.09%,4.01%,3.17%,3.96%,3.78%,5.20%,4.20%,4.14%
Operating Profit,44.58,30.15,33.45,46.83,60.88,71.64,40.26,36.36,40.78,7.18
OPM %,18.62%,13.75%,15.39%,21.30%,22.37%,24.15%,16.58%,18.42%,16.02%,2.88%
Other Income,1.72,1.35,0.74,0.90,1.17,1.85,1.15,1.39,3.77,35.60
  └─ Other income normal,1.72,1.35,0.74,0.90,1.17,1.85,1.15,1.39,3.77,35.60
Interest,13.02,24.48,22.37,22.98,22.45,31.88,24.26,24.86,28.54,37.73
Depreciation,4.97,5.28,5.13,5.26,5.20,5.86,5.89,6.25,6.23,6.84
Profit before tax,28.31,1.74,6.69,19.49,34.40,35.75,11.26,6.64,9.78,-1.79
Tax %,11.87%,-12.07%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,21.79%
Net Profit,24.95,1.92,6.69,19.49,34.40,35.75,11.26,6.64,9.78,-2.18
  └─ Minority share,0,0,0,0,0,-0,0,-0,-0,0
  └─ Profit excl Excep,25,2,7,19,34,36,11,7,10,-2
  └─ Profit for PE,25,2,7,19,34,36,11,6,10,-2
  └─ Profit for EPS,25,2,7,19,34,36,11,6,10,-2
  └─ YOY Profit Growth %,,,,,38%,1757%,68%,-67%,-72%,-105%
EPS in Rs,,,,,,,,,,
Raw PDF,,,,,,,,,,
