Metric,Sep 2022,Mar 2023,Sep 2023,Mar 2024,Sep 2024,Mar 2025,Sep 2025,Mar 2026
Sales,1.14,4.07,1.98,5.79,3.78,8.40,9.73,7.83
Expenses,0.73,3.13,0.95,3.99,1.92,3.38,5.01,0.97
  └─ Employee Cost %,50.00%,14.25%,29.80%,11.92%,19.58%,10.48%,11.31%,7.92%
Operating Profit,0.41,0.94,1.03,1.80,1.86,5.02,4.72,6.86
OPM %,35.96%,23.10%,52.02%,31.09%,49.21%,59.76%,48.51%,87.61%
Other Income,0.00,0.06,0.00,0.01,0.12,0.11,0.06,0.22
  └─ Other income normal,0.00,0.06,0.00,0.01,0.12,0.11,0.06,0.22
Interest,0.03,0.04,0.05,0.10,0.09,0.20,0.08,0.12
Depreciation,0.23,0.24,0.22,0.26,0.25,0.38,0.32,0.33
Profit before tax,0.15,0.72,0.76,1.45,1.64,4.55,4.38,6.63
Tax %,33.33%,27.78%,25.00%,24.83%,25.00%,28.79%,24.89%,24.43%
Net Profit,0.11,0.52,0.56,1.09,1.24,3.25,3.29,5.01
  └─ Profit excl Excep,0.11,0.52,0.56,1.09,1.24,3.25,3.29,5.01
  └─ Profit for PE,0.11,0.52,0.56,1.09,1.24,3.25,3.29,5.01
  └─ Profit for EPS,0.11,0.52,0.56,1.09,1.24,3.25,3.29,5.01
EPS in Rs,0.20,0.88,0.62,1.21,1.37,3.03,3.05,4.62
Raw PDF,,,,,,,,
