Metric,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
Sales,154.93,129.89,228.04,139.86,156.70
  └─ YOY Sales Growth %,,,,,1.14%
Expenses,149.34,129.11,230.81,142.37,157.20
  └─ Material Cost %,94%,98%,100%,98%,98%
  └─ Employee Cost %,0%,0%,0%,1%,1%
Operating Profit,5.59,0.78,-2.77,-2.51,-0.50
OPM %,3.61%,0.60%,-1.21%,-1.79%,-0.32%
Other Income,0.04,0.02,1.69,0.40,2.59
  └─ Exceptional items,0.00,0.00,0.70,0.00,0.00
  └─ Other income normal,0.04,0.02,0.99,0.40,2.59
Interest,0.45,0.11,0.15,0.24,0.32
Depreciation,0.33,0.37,0.29,0.20,0.18
Profit before tax,4.85,0.32,-1.52,-2.55,1.59
Tax %,29.28%,-37.50%,-18.42%,-27.84%,15.72%
Net Profit,3.43,0.44,-1.24,-1.85,1.33
  └─ Exceptional items AT,0,0,1,0,0
  └─ Profit excl Excep,3,0,-2,-2,1
  └─ Profit for PE,3,0,-2,-2,1
  └─ Profit for EPS,3,0,-1,-2,1
  └─ YOY Profit Growth %,,,,,-61%
EPS in Rs,0.09,0.01,-0.03,-0.05,0.03
Raw PDF,,,,,
