Metric,Sep 2024,Mar 2025,Sep 2025,Mar 2026
Sales,253,249,302,327
Expenses,210,195,258,261
  └─ Material Cost %,0.00%,0.00%,0.00%,1.28%
  └─ Employee Cost %,2.46%,3.26%,3.08%,3.26%
Operating Profit,43,54,43,66
OPM %,17%,22%,14%,20%
Other Income,2,4,4,3
  └─ Other income normal,2.48,4.46,4.39,3.39
Interest,8,9,7,10
Depreciation,26,35,24,48
Profit before tax,12,14,17,11
Tax %,25%,26%,25%,27%
Net Profit,9,10,13,8
  └─ Profit excl Excep,8.75,10.39,12.60,8.33
  └─ Profit for PE,8.75,10.39,12.60,8.33
  └─ Profit for EPS,8.75,10.39,12.60,8.33
EPS in Rs,4.97,4.35,5.27,3.49
Raw PDF,,,,
