Metric,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,59.32,62.60,54.75,59.31,60.52,58.93,66.65,66.16,66.10,65.06,61.97,57.82
  └─ YOY Sales Growth %,,,,,2.02%,-5.86%,21.74%,11.55%,9.22%,10.40%,-7.02%,-12.61%
Expenses,53.04,55.26,46.97,50.50,52.98,52.40,60.40,61.06,59.58,58.69,58.02,61.58
  └─ Material Cost %,68%,65%,58%,59%,62%,63%,64%,63%,64%,60%,58%,66%
  └─ Employee Cost %,11%,11%,13%,13%,13%,14%,13%,14%,14%,15%,16%,18%
Operating Profit,6.28,7.34,7.78,8.81,7.54,6.53,6.25,5.10,6.52,6.37,3.95,-3.76
OPM %,10.59%,11.73%,14.21%,14.85%,12.46%,11.08%,9.38%,7.71%,9.86%,9.79%,6.37%,-6.50%
Other Income,0.98,1.04,0.62,0.88,1.48,0.19,1.32,1.53,1.10,0.52,0.44,0.73
  └─ Exceptional items,0.00,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.32,-0.49,0.00
  └─ Other income normal,0.98,0.82,0.62,0.88,1.48,0.19,1.32,1.53,1.10,0.84,0.93,0.73
Interest,0.37,0.21,0.18,0.56,0.47,0.51,0.58,0.59,0.64,0.63,0.64,0.75
Depreciation,1.03,1.08,1.11,1.08,1.13,1.16,1.18,1.25,1.41,1.45,1.51,1.46
Profit before tax,5.86,7.09,7.11,8.05,7.42,5.05,5.81,4.79,5.57,4.81,2.24,-5.24
Tax %,22.87%,26.09%,26.72%,30.43%,24.26%,17.43%,27.71%,25.05%,24.60%,26.20%,27.68%,-54.58%
Net Profit,4.51,5.24,5.21,5.61,5.61,4.17,4.21,3.59,4.19,3.53,1.62,-2.37
  └─ Exceptional items AT,0,0,0,0,0,0,0,0,0,-0,-0,0
  └─ Profit excl Excep,5,5,5,6,6,4,4,4,4,4,2,-2
  └─ Profit for PE,5,5,5,6,6,4,4,4,4,4,2,-2
  └─ Profit for EPS,5,5,5,6,6,4,4,4,4,4,2,-2
  └─ YOY Profit Growth %,,,,,24%,-18%,-19%,-36%,-25%,-10%,-55%,-166%
EPS in Rs,0.49,0.57,0.57,0.61,0.61,0.45,0.46,0.39,0.46,0.38,0.18,-0.26
Raw PDF,,,,,,,,,,,,
