Metric,Sep 2023,Mar 2024,Sep 2024
  └─ Employee Cost %,3.97%,2.93%,1.94%
  └─ Other income normal,0.01,0.12,0.05
  └─ Profit excl Excep,0.47,-0.14,0.29
  └─ Profit for PE,0.47,-0.14,0.29
  └─ Profit for EPS,0.47,-0.14,0.29
