Metric,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,552,602,599,616,650,744,701
  └─ YOY Sales Growth %,,,,,17.83%,23.71%,17.02%
Expenses,519,525,542,571,575,612,594
  └─ Material Cost %,14.16%,11.47%,14.79%,12.44%,12.52%,13.99%,14.89%
  └─ Employee Cost %,46.85%,41.79%,40.35%,47.30%,41.22%,35.38%,35.19%
Operating Profit,32,77,57,45,75,132,106
OPM %,6%,13%,9%,7%,12%,18%,15%
Other Income,22,-30,12,37,23,23,50
  └─ Exceptional items,0.00,-36.58,0.00,0.00,0.00,-12.22,8.93
  └─ Other income normal,21.96,6.35,11.91,37.17,23.01,35.45,40.93
Interest,18,22,22,21,21,24,17
Depreciation,75,76,69,65,66,68,71
Profit before tax,-38,-51,-22,-5,11,63,68
Tax %,-16%,11%,30%,-199%,47%,32%,13%
Net Profit,-32,-57,-29,5,6,42,59
  └─ Exceptional items AT,0,-33,0,0,0,-8,6
  └─ Profit excl Excep,-32,-24,-29,5,6,51,53
  └─ Profit for PE,-32,-24,-29,5,6,51,53
  └─ Profit for EPS,-32,-57,-29,5,6,42,59
  └─ YOY Profit Growth %,,,,,119%,311%,284%
EPS in Rs,-0.38,-0.67,-0.34,0.11,0.13,0.37,0.52
Raw PDF,,,,,,,
