Metric,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023
Sales,45.79,47.27,48.32,2.75,5.29,9.10,6.66,1.34,1.54,0.60,1.23,0.82,0.00
  └─ YOY Sales Growth %,41%,99%,117%,11%,-88%,-81%,-86%,-51%,-71%,-93%,-82%,-39%,-100%
Expenses,44.84,49.35,77.30,5.98,8.59,11.88,58.71,6.38,6.97,4.16,7.19,2.34,1.90
  └─ Material Cost %,90.02%,89.32%,143.44%,68.73%,89.22%,84.29%,169.22%,146.27%,146.75%,225.00%,196.75%,95.12%,
  └─ Employee Cost %,4.74%,3.91%,1.82%,33.82%,17.96%,14.84%,20.12%,111.19%,94.81%,180.00%,34.15%,21.95%,
Operating Profit,0.95,-2.08,-28.98,-3.23,-3.30,-2.78,-52.05,-5.04,-5.43,-3.56,-5.96,-1.52,-1.90
OPM %,2.07%,-4.40%,-59.98%,-117.45%,-62.38%,-30.55%,-781.53%,-376.12%,-352.60%,-593.33%,-484.55%,-185.37%,
Other Income,0.24,3.97,26.07,2.89,1.00,2.83,19.40,0.46,0.06,0.06,-0.83,0.37,0.36
  └─ Exceptional items,0.00,0.00,-2.00,0.00,-2.12,0.00,19.27,0.00,0.00,0.00,-2.14,0.00,0.00
  └─ Other income normal,0.24,3.97,28.07,2.89,3.12,2.83,0.13,0.46,0.06,0.06,1.31,0.37,0.36
Interest,2.07,1.79,3.09,2.38,2.64,2.28,0.59,1.98,2.19,2.16,1.89,2.45,2.62
Depreciation,2.66,1.14,1.15,1.90,1.89,1.90,1.86,1.87,1.87,1.89,1.84,1.85,1.87
Profit before tax,-3.54,-1.04,-7.15,-4.62,-6.83,-4.13,-35.10,-8.43,-9.43,-7.55,-10.52,-5.45,-6.03
Tax %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Net Profit,-3.55,-1.04,-7.15,-4.62,-6.83,-4.13,-35.10,-8.43,-9.43,-7.55,-10.51,-5.45,-6.03
  └─ Exceptional items AT,0.00,0.00,-2.00,0.00,-2.12,0.00,19.27,0.00,0.00,0.00,-2.14,0.00,0.00
  └─ Profit excl Excep,-3.55,-1.04,-5.15,-4.62,-4.71,-4.13,-54.37,-8.43,-9.43,-7.55,-8.37,-5.45,-6.03
  └─ Profit for PE,-3.55,-1.04,-5.15,-4.62,-4.71,-4.13,-54.37,-8.43,-9.43,-7.55,-8.37,-5.45,-6.03
  └─ Profit for EPS,-3.55,-1.04,-7.15,-4.62,-6.83,-4.13,-35.10,-8.43,-9.43,-7.55,-10.51,-5.45,-6.03
  └─ YOY Profit Growth %,-88.83%,78.42%,34.06%,36.80%,-32.68%,-297.12%,-955.73%,-82.47%,-100.21%,-82.81%,84.61%,35.35%,36.06%
EPS in Rs,-0.09,-0.03,-0.18,-0.12,-0.17,-0.10,-0.88,-0.21,-0.24,-0.19,-0.26,-0.14,-0.15
Raw PDF,,,,,,,,,,,,,
