Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,421,274,332,517,257,172,149,303,382,171,245,654,381
  └─ YOY Sales Growth %,,,,30.19%,-38.98%,-37.11%,-55.04%,-41.36%,48.64%,-1.00%,63.93%,115.57%,-0.25%
Expenses,378,260,294,498,224,159,140,262,352,157,224,608,347
  └─ Material Cost %,77%,82%,80%,88%,75%,76%,75%,73%,82%,76%,77%,84%,79%
  └─ Employee Cost %,2%,3%,2%,2%,3%,4%,6%,3%,2%,5%,4%,2%,3%
Operating Profit,43,14,38,19,32,14,10,41,29,14,20,45,34
OPM %,10%,5%,11%,4%,13%,8%,6%,14%,8%,8%,8%,7%,9%
Other Income,-0,3,6,8,5,3,4,6,4,3,6,8,15
  └─ Other income normal,-0.18,2.53,6.26,7.92,4.73,2.85,3.97,6.32,4.15,2.56,6.00,7.77,15.32
Interest,7,6,6,6,7,8,9,11,10,11,13,15,15
Depreciation,3,3,3,3,3,3,4,4,3,3,4,4,5
Profit before tax,33,8,35,17,27,6,1,33,20,2,9,35,29
Tax %,34%,45%,18%,31%,-8%,5%,-40%,19%,30%,33%,26%,21%,26%
Net Profit,22,4,29,12,29,5,1,27,14,2,7,27,21
  └─ Minority share,-0,-1,-0,-2,-2,-1,1,-1,-0,-0,-1,-4,-1
  └─ Profit excl Excep,22,4,29,12,29,5,1,27,14,2,7,27,21
  └─ Profit for PE,22,4,28,10,27,4,2,26,14,2,6,24,21
  └─ Profit for EPS,22,4,28,10,27,4,2,26,14,2,6,24,21
  └─ YOY Profit Growth %,,,,-54%,24%,18%,-93%,151%,-50%,-64%,183%,-10%,52%
EPS in Rs,0.99,0.16,1.28,0.48,0.91,0.14,0.07,0.88,0.45,0.05,0.20,0.79,0.69
Raw PDF,,,,,,,,,,,,,
