Metric,Dec 2022,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,92.88,93.47,100.63,98.84,99.91,107.04,115.89,104.31,100.09,104.73,123.88,100.78
  └─ YOY Sales Growth %,,,8.34%,,,14.52%,15.16%,5.53%,0.18%,-2.16%,6.89%,-3.38%
Expenses,69.54,80.15,83.53,85.23,83.25,87.94,94.11,90.92,90.42,92.94,108.53,92.13
  └─ Material Cost %,0.00%,0.00%,0.00%,0.75%,0.55%,1.32%,2.61%,1.04%,0.96%,2.24%,7.98%,0.18%
  └─ Employee Cost %,17.46%,19.03%,19.22%,20.34%,19.84%,19.30%,19.48%,21.23%,22.94%,22.53%,19.39%,23.38%
Operating Profit,23.34,13.32,17.10,13.61,16.66,19.10,21.78,13.39,9.67,11.79,15.35,8.65
OPM %,25.13%,14.25%,16.99%,13.77%,16.68%,17.84%,18.79%,12.84%,9.66%,11.26%,12.39%,8.58%
Other Income,0.39,1.95,0.89,1.19,1.29,1.58,1.66,1.78,2.17,2.19,2.14,-0.73
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-3.13
  └─ Other income normal,0.39,1.95,0.89,1.19,1.29,1.58,1.66,1.78,2.17,2.19,2.14,2.40
Interest,0.16,0.14,0.40,0.65,0.51,0.42,0.79,1.18,1.21,1.51,2.11,2.31
Depreciation,1.15,1.30,1.68,2.49,2.43,2.50,2.62,2.63,2.76,2.88,2.89,2.98
Profit before tax,22.42,13.83,15.91,11.66,15.01,17.76,20.03,11.36,7.87,9.59,12.49,2.63
Tax %,24.04%,26.39%,26.21%,28.99%,27.98%,26.75%,25.86%,26.23%,26.81%,20.13%,7.21%,-12.17%
Net Profit,17.03,10.17,11.74,8.28,10.81,13.02,14.85,8.38,5.76,7.66,11.59,2.96
  └─ Minority share,0.00,0.00,0.12,0.18,0.04,-0.54,-1.50,1.44,1.58,0.85,-0.65,2.50
  └─ Exceptional items AT,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.43
  └─ Profit excl Excep,17.03,10.17,11.74,8.28,10.81,13.02,14.85,8.38,5.76,7.66,11.59,3.39
  └─ Profit for PE,17.03,10.17,11.86,8.46,10.85,12.48,13.35,9.82,7.34,8.51,10.94,5.89
  └─ Profit for EPS,17.03,10.17,11.86,8.46,10.85,12.48,13.35,9.82,7.34,8.51,10.94,5.46
  └─ YOY Profit Growth %,,,-30.36%,,,22.71%,12.56%,16.08%,-32.35%,-31.81%,-18.05%,-40.02%
EPS in Rs,1.68,0.95,1.11,0.79,1.02,1.17,1.25,0.92,0.69,0.80,1.03,0.51
Raw PDF,,,,,,,,,,,,
