Metric,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025
Sales,83.55,90.71,94.10,101.96,94.45,97.97,82.64,78.41,84.56,90.66,90.51,94.72,108.97
  └─ YOY Sales Growth %,3.54%,-8.23%,19.64%,5.61%,13.05%,8.00%,-12.18%,-23.10%,-10.47%,-7.46%,9.52%,20.80%,28.87%
Expenses,84.00,73.13,93.72,123.24,114.23,145.88,80.90,79.74,87.40,81.56,83.75,89.17,109.45
  └─ Material Cost %,40%,30%,46%,38%,44%,51%,40%,42%,46%,31%,43%,35%,52%
  └─ Employee Cost %,48%,47%,45%,43%,43%,43%,46%,49%,51%,52%,44%,42%,37%
Operating Profit,-0.45,17.58,0.38,-21.28,-19.78,-47.91,1.74,-1.33,-2.84,9.10,6.76,5.55,-0.48
OPM %,-0.54%,19.38%,0.40%,-20.87%,-20.94%,-48.90%,2.11%,-1.70%,-3.36%,10.04%,7.47%,5.86%,-0.44%
Other Income,-65.52,-40.72,1.89,22.65,21.61,49.25,2.77,7.26,4.52,1.71,-2.48,-3.54,3.81
  └─ Exceptional items,-66.16,-55.88,0.00,15.54,20.97,21.12,0.00,4.96,0.00,-10.29,-3.05,-4.00,-3.39
  └─ Other income normal,0.64,15.16,1.89,7.11,0.64,28.13,2.77,2.30,4.52,12.00,0.57,0.46,7.20
Interest,2.75,3.03,1.85,2.33,0.72,1.33,2.07,1.87,1.77,2.25,1.45,1.67,1.99
Depreciation,1.99,2.33,1.29,1.35,1.31,1.24,1.28,1.24,1.16,1.25,1.26,1.20,1.17
Profit before tax,-70.71,-28.50,-0.87,-2.31,-0.20,-1.23,1.16,2.82,-1.25,7.31,1.57,-0.86,0.17
Tax %,-23.12%,123.44%,81.61%,51.08%,825.00%,-62.60%,155.17%,52.48%,-24.80%,82.49%,63.69%,55.81%,482.35%
Net Profit,-54.35,-63.68,-1.57,-3.49,-1.85,-0.46,-0.64,1.34,-0.92,1.26,0.57,-1.34,-0.63
  └─ Minority share,3,0,1,1,0,-1,1,4,0,3,0,-0,-0
  └─ Exceptional items AT,-66,-20,0,13,19,20,0,3,0,-4,-2,-3,-3
  └─ Profit excl Excep,11,-44,-2,-17,-21,-20,-1,-2,-1,6,3,1,2
  └─ Profit for PE,11,-44,-1,-10,-17,-21,0,2,-0,8,3,1,2
  └─ Profit for EPS,-51,-64,-1,-2,-1,-1,0,5,-0,4,1,-2,-1
  └─ YOY Profit Growth %,393%,-286%,69%,-92%,-259%,52%,102%,119%,97%,139%,13900%,-56%,522%
EPS in Rs,-2.90,-3.61,-0.05,-0.12,-0.08,-0.07,0.00,0.31,-0.03,0.23,0.04,-0.10,-0.04
Raw PDF,,,,,,,,,,,,,
