Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,1471,1462,1444,1824,1642,1741,1674,1715,1716,1852,1789,1966,2065
  └─ YOY Sales Growth %,15.17%,4.27%,4.97%,25.83%,11.69%,19.08%,15.88%,-5.94%,4.50%,6.36%,6.86%,14.62%,20.33%
Expenses,820,841,886,955,908,894,923,1001,952,1006,1034,1146,1009
  └─ Employee Cost %,48.04%,49.02%,51.78%,41.70%,46.12%,43.46%,46.90%,49.66%,47.25%,45.30%,45.56%,48.69%,39.83%
Operating Profit,651,622,558,868,734,847,751,714,765,846,755,820,1056
OPM %,44%,42%,39%,48%,45%,49%,45%,42%,45%,46%,42%,42%,51%
Other Income,61,101,65,94,82,48,105,70,82,72,66,60,71
  └─ Other income normal,61,101,65,94,82,48,105,70,82,72,66,60,71
Interest,8,-3,8,9,14,5,8,-3,-9,-4,8,7,-8
Depreciation,19,18,19,19,18,18,18,17,17,18,16,16,15
Profit before tax,686,707,596,934,785,873,829,770,839,905,797,857,1120
Tax %,30%,29%,30%,21%,29%,29%,30%,30%,23%,29%,32%,29%,25%
Net Profit,479,501,417,741,560,617,578,541,644,642,546,610,842
  └─ Profit excl Excep,479,501,417,741,560,617,578,541,644,642,546,610,842
  └─ Profit for PE,479,501,417,741,560,617,578,541,644,642,546,610,842
  └─ Profit for EPS,479,501,417,741,560,617,578,541,644,642,546,610,842
  └─ YOY Profit Growth %,-1%,2%,5%,69%,17%,23%,38%,-27%,15%,4%,-5%,13%,31%
EPS in Rs,55.48,57.92,48.20,85.51,64.62,71.12,66.60,62.35,74.13,73.87,62.82,70.06,96.71
Raw PDF,,,,,,,,,,,,,
