Metric,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025
Sales,887,810,832,1034,984,1077,1233,1135,1186,1420,914,410,372
  └─ YOY Sales Growth %,-35%,-53%,-48%,-27%,11%,33%,48%,10%,21%,32%,-26%,-64%,-69%
Expenses,970,784,819,1008,1016,1084,1198,1068,1110,1363,899,399,449
  └─ Material Cost %,82%,70%,74%,71%,73%,73%,72%,71%,70%,72%,73%,71%,69%
  └─ Employee Cost %,5%,5%,5%,6%,8%,7%,6%,6%,5%,6%,7%,14%,16%
Operating Profit,-83,25,13,25,-33,-7,35,67,76,56,15,11,-77
OPM %,-9%,3%,2%,2%,-3%,-1%,3%,6%,6%,4%,2%,3%,-21%
Other Income,74,4,199,88,129,62,281,245,19,-101,123,50,75
  └─ Exceptional items,0,-227,0,0,0,0,137,-16,21,-87,-27,-4,1
  └─ Other income normal,74,231,199,88,129,62,145,261,-2,-14,150,54,75
Interest,76,25,29,33,81,29,27,128,16,171,34,33,29
Depreciation,45,43,50,57,62,45,55,42,40,59,45,47,46
Profit before tax,-129,-40,133,23,-46,-18,235,141,40,-275,58,-18,-77
Tax %,-25%,871%,26%,47%,-58%,2%,28%,17%,90%,-35%,37%,-27%,25%
Net Profit,-97,-385,98,12,-19,-19,168,117,4,-179,36,-13,-97
  └─ Minority share,0,-0,0,0,0,0,0,0,0,0,0,1,1
  └─ Exceptional items AT,0,118,0,0,0,0,98,-16,21,-86,-27,-4,-0
  └─ Profit excl Excep,-97,-503,98,12,-19,-19,70,133,-17,-93,63,-10,-96
  └─ Profit for PE,-97,-503,98,12,-19,-19,70,133,-17,-93,63,-9,-96
  └─ Profit for EPS,-97,-385,98,12,-19,-19,168,117,4,-179,37,-13,-96
  └─ YOY Profit Growth %,-144%,-215%,-69%,-97%,80%,96%,-28%,991%,11%,-390%,-10%,-107%,-453%
EPS in Rs,-22.06,-87.90,22.29,2.78,-4.44,-4.31,38.38,26.62,0.94,-40.87,8.42,-2.92,-22.01
Raw PDF,,,,,,,,,,,,,
