Metric,Dec 2024,Sep 2025,Dec 2025,Mar 2026
Sales,2.55,4.42,16.06,32.89
  └─ YOY Sales Growth %,,,529.80%,
Expenses,2.62,4.50,15.51,31.85
  └─ Material Cost %,100%,100%,96%,96%
  └─ Employee Cost %,2%,1%,0%,0%
Operating Profit,-0.07,-0.08,0.55,1.04
OPM %,-2.75%,-1.81%,3.42%,3.16%
Other Income,0.78,0.03,0.00,0.09
  └─ Other income normal,0.78,0.03,0.00,0.09
Interest,0.00,0.00,0.00,0.00
Depreciation,0.00,0.00,0.01,0.07
Profit before tax,0.71,-0.05,0.54,1.06
Tax %,11.27%,0.00%,27.78%,23.58%
Net Profit,0.63,-0.05,0.39,0.80
  └─ Minority share,0.00,0.00,0.01,-0.02
  └─ Profit excl Excep,0.63,-0.05,0.39,0.80
  └─ Profit for PE,0.63,-0.05,0.40,0.78
  └─ Profit for EPS,0.63,-0.05,0.40,0.78
  └─ YOY Profit Growth %,,,-36.51%,
EPS in Rs,0.58,-0.05,0.37,0.34
Raw PDF,,,,
