Metric,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,0.70,0.70,0.61,0.12,0.08,0.07
  └─ YOY Sales Growth %,,,,,-89%,-90%
Expenses,0.41,0.86,0.58,0.09,0.02,0.06
  └─ Material Cost %,45.71%,84.29%,80.33%,25.00%,12.50%,28.57%
  └─ Employee Cost %,8.57%,18.57%,8.20%,16.67%,0.00%,0.00%
Operating Profit,0.29,-0.16,0.03,0.03,0.06,0.01
OPM %,41.43%,-22.86%,4.92%,25.00%,75.00%,14.29%
Other Income,0.00,0.04,0.05,0.02,0.00,0.00
  └─ Other income normal,0.00,0.04,0.05,0.02,0.00,0.00
Interest,0.00,0.00,0.00,0.00,0.00,0.00
Depreciation,0.00,0.05,0.04,0.04,0.04,0.04
Profit before tax,0.29,-0.17,0.04,0.01,0.02,-0.03
Tax %,0.00%,11.76%,25.00%,100.00%,50.00%,0.00%
Net Profit,0.29,-0.18,0.03,0.00,0.02,-0.02
  └─ Profit excl Excep,0,-0,0,0,0,-0
  └─ Profit for PE,0,-0,0,0,0,-0
  └─ Profit for EPS,0,-0,0,0,0,-0
  └─ YOY Profit Growth %,,,,,-93%,89%
EPS in Rs,0.08,-0.05,0.01,0.00,0.01,-0.01
Raw PDF,,,,,,
