Metric,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,1257,1372,1972,1512,1668,2001,2436,1588,1715,2178,3303,3544
  └─ YOY Sales Growth %,,,,,33%,46%,24%,5%,3%,9%,36%,123%
Expenses,1212,1326,1880,1423,1604,1947,2313,1494,1605,2070,3058,3409
  └─ Material Cost %,93%,93%,91%,90%,92%,93%,90%,88%,87%,88%,86%,90%
  └─ Employee Cost %,2%,2%,1%,2%,1%,1%,1%,2%,2%,2%,1%,1%
Operating Profit,45,45,92,89,64,54,123,94,110,107,244,135
OPM %,4%,3%,5%,6%,4%,3%,5%,6%,6%,5%,7%,4%
Other Income,1,2,2,2,2,12,7,15,13,36,24,31
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-3.39,0.00
  └─ Other income normal,1.04,2.26,2.45,2.16,1.93,11.80,7.00,14.93,12.88,35.81,27.41,31.14
Interest,10,11,11,12,12,13,6,11,19,20,25,28
Depreciation,6,6,6,5,6,7,8,13,11,14,15,17
Profit before tax,30,30,77,73,48,46,115,85,93,109,228,122
Tax %,27%,28%,26%,25%,26%,24%,25%,27%,25%,27%,25%,26%
Net Profit,22,22,58,55,35,35,86,62,69,79,171,90
  └─ Exceptional items AT,0,0,0,0,0,0,0,0,0,0,-2,0
  └─ Profit excl Excep,22,22,58,55,35,35,86,62,69,79,173,90
  └─ Profit for PE,22,22,58,55,35,35,86,62,69,79,173,90
  └─ Profit for EPS,22,22,58,55,35,35,86,62,69,79,171,90
  └─ YOY Profit Growth %,,,,,59%,59%,49%,13%,96%,127%,102%,46%
EPS in Rs,4.01,3.98,10.43,4.66,2.99,2.57,6.34,4.57,5.11,5.84,12.59,6.65
Raw PDF,,,,,,,,,,,,
