Metric,Sep 2022,Mar 2023,Sep 2023,Mar 2024,Sep 2024,Mar 2025,Sep 2025,Mar 2026
Sales,44,34,33,37,36,61,69,70
Expenses,34,24,25,27,29,49,58,57
  └─ Material Cost %,65%,58%,64%,57%,64%,67%,69%,67%
  └─ Employee Cost %,2%,2%,2%,2%,2%,3%,3%,3%
Operating Profit,10,10,8,10,7,12,11,12
OPM %,22%,31%,25%,26%,20%,20%,15%,18%
Other Income,0,0,0,0,1,2,1,-5
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-5.82
  └─ Other income normal,0.16,0.24,0.00,0.36,0.56,1.52,1.49,1.16
Interest,1,1,1,1,0,1,1,1
Depreciation,2,2,1,2,1,5,5,5
Profit before tax,8,8,6,8,6,8,6,2
Tax %,24%,22%,16%,35%,7%,25%,21%,182%
Net Profit,6,7,5,5,5,6,5,-1
  └─ Exceptional items AT,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-2.16
  └─ Profit excl Excep,5.78,6.58,5.19,5.09,5.31,5.82,4.73,0.86
  └─ Profit for PE,5.78,6.58,5.19,5.09,5.31,5.82,4.73,0.86
  └─ Profit for EPS,5.78,6.58,5.19,5.09,5.31,5.82,4.73,-1.30
EPS in Rs,3.04,3.46,2.08,2.04,2.12,2.33,1.89,-0.52
Raw PDF,,,,,,,,
