Metric,Mar 2024,Sep 2024,Mar 2025,Sep 2025,Mar 2026
Sales,14.18,13.87,14.75,14.08,14.77
Expenses,11.18,11.55,11.64,12.32,16.40
  └─ Employee Cost %,56%,63%,58%,66%,64%
Operating Profit,3.00,2.32,3.11,1.76,-1.63
OPM %,21.16%,16.73%,21.08%,12.50%,-11.04%
Other Income,0.32,0.86,1.85,2.59,1.46
  └─ Other income normal,0.32,0.86,1.85,2.59,1.46
Interest,0.00,0.00,0.00,0.00,0.07
Depreciation,0.25,0.29,0.72,0.58,0.61
Profit before tax,3.07,2.89,4.24,3.77,-0.85
Tax %,24.10%,19.03%,19.58%,23.34%,-55.29%
Net Profit,2.32,2.35,3.41,2.90,-0.38
  └─ Minority share,0.00,0.00,0.00,0.00,0.05
  └─ Profit excl Excep,2.32,2.35,3.41,2.90,-0.38
  └─ Profit for PE,2.32,2.35,3.41,2.90,-0.33
  └─ Profit for EPS,2.32,2.35,3.41,2.90,-0.33
EPS in Rs,2.65,2.04,2.96,2.52,-0.29
Raw PDF,,,,,
