Metric,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025
Sales,428,425,440,452,468,456,468,499,516,530,534,567,579
  └─ YOY Sales Growth %,31.50%,23.51%,16.29%,8.44%,9.35%,7.22%,6.59%,10.48%,10.34%,16.39%,14.02%,13.64%,12.20%
Expenses,364,357,377,387,403,426,419,434,431,441,445,471,476
  └─ Employee Cost %,58%,58%,61%,60%,60%,67%,65%,61%,58%,59%,55%,52%,51%
Operating Profit,64,68,62,65,65,30,50,65,85,90,89,96,104
OPM %,15%,16%,14%,14%,14%,7%,11%,13%,16%,17%,17%,17%,18%
Other Income,8,4,5,5,7,16,-24,18,9,17,8,20,10
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,0.00,-30.10,0.00,0.00,0.00,0.00,0.00,-4.80
  └─ Other income normal,7.76,3.67,4.69,5.32,7.31,16.18,6.20,17.80,9.40,16.80,8.30,20.40,15.00
Interest,1,1,1,1,1,1,1,1,1,1,1,1,2
Depreciation,7,7,7,8,8,8,8,9,8,8,8,6,5
Profit before tax,63,64,59,61,63,37,17,72,86,97,89,110,108
Tax %,27%,23%,24%,25%,24%,27%,38%,27%,26%,25%,26%,25%,25%
Net Profit,47,49,45,46,48,27,10,53,64,73,66,83,80
  └─ Exceptional items AT,0,0,0,0,0,0,-15,0,0,0,0,0,-4
  └─ Profit excl Excep,47,49,45,46,48,27,25,53,64,73,66,83,84
  └─ Profit for PE,47,49,45,46,48,27,25,53,64,73,66,83,84
  └─ Profit for EPS,47,49,45,46,48,27,10,53,64,73,66,83,80
  └─ YOY Profit Growth %,75%,118%,44%,10%,3%,-45%,-43%,15%,32%,170%,160%,56%,32%
EPS in Rs,16.57,17.52,15.86,16.80,17.60,9.94,3.85,19.38,23.30,26.72,24.05,30.04,29.20
Raw PDF,,,,,,,,,,,,,
