Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,348,354,397,423,468,505,571,588,567,607,658,705,739
  └─ YOY Sales Growth %,3.07%,12.04%,19.88%,19.65%,34.43%,42.58%,43.73%,38.88%,20.99%,20.13%,15.20%,19.97%,30.39%
Expenses,140,152,156,164,178,189,197,202,201,218,229,235,232
  └─ Employee Cost %,20.82%,22.02%,20.10%,20.82%,18.93%,20.82%,18.71%,18.11%,19.50%,20.22%,18.73%,18.92%,17.05%
Operating Profit,209,202,241,259,291,316,374,386,365,388,430,470,507
OPM %,60%,57%,61%,61%,62%,63%,66%,66%,64%,64%,65%,67%,69%
Other Income,40,117,78,107,92,131,121,15,23,146,37,75,-34
  └─ Other income normal,39.69,116.87,77.88,107.07,92.30,130.80,120.78,15.41,23.04,146.00,36.59,75.27,-33.53
Interest,1,1,2,2,2,2,2,2,2,2,2,2,2
Depreciation,8,8,7,7,7,7,7,8,9,8,9,11,12
Profit before tax,239,310,310,358,374,439,486,392,378,524,456,533,460
Tax %,17%,24%,21%,21%,8%,24%,26%,25%,21%,24%,24%,24%,16%
Net Profit,198,236,244,284,343,332,360,295,299,396,345,404,385
  └─ Profit from Associates,0,0,0,0,0,0,0,0,0,0,0,0,0
  └─ Profit excl Excep,198,236,244,284,343,332,360,295,299,396,345,404,385
  └─ Profit for PE,198,236,244,284,343,332,360,295,299,396,345,404,385
  └─ Profit for EPS,198,236,244,284,343,332,360,295,299,396,345,404,385
  └─ YOY Profit Growth %,13%,107%,19%,39%,73%,41%,47%,4%,-13%,19%,-4%,37%,29%
EPS in Rs,3.18,3.78,3.91,4.53,5.44,5.26,5.69,4.66,4.70,6.23,5.41,6.34,6.03
Raw PDF,,,,,,,,,,,,,
